"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
79,5.087,3.517,1.41,0.188,"setosa"
79,4.897,2.99,1.402,0.199,"setosa"
79,4.676,3.206,1.304,0.195,"setosa"
79,4.601,3.111,1.511,0.204,"setosa"
79,5.007,3.593,1.397,0.191,"setosa"
79,5.417,3.899,1.703,0.391,"setosa"
79,4.619,3.416,1.399,0.305,"setosa"
79,4.993,3.405,1.505,0.194,"setosa"
79,4.397,2.895,1.405,0.199,"setosa"
79,4.881,3.112,1.498,0.097,"setosa"
79,5.412,3.721,1.486,0.217,"setosa"
79,4.797,3.42,1.606,0.207,"setosa"
79,4.797,2.99,1.387,0.088,"setosa"
79,4.294,3.004,1.121,0.104,"setosa"
79,5.804,3.991,1.196,0.207,"setosa"
79,5.698,4.393,1.495,0.403,"setosa"
79,5.391,3.897,1.304,0.394,"setosa"
79,5.103,3.512,1.404,0.29,"setosa"
79,5.695,3.785,1.71,0.299,"setosa"
79,5.102,3.808,1.507,0.305,"setosa"
79,5.404,3.401,1.704,0.194,"setosa"
79,5.113,3.707,1.502,0.407,"setosa"
79,4.616,3.612,1.001,0.202,"setosa"
79,5.106,3.305,1.693,0.509,"setosa"
79,4.794,3.388,1.889,0.199,"setosa"
79,5.007,2.992,1.602,0.193,"setosa"
79,4.998,3.409,1.599,0.393,"setosa"
79,5.195,3.499,1.507,0.214,"setosa"
79,5.201,3.411,1.412,0.207,"setosa"
79,4.705,3.19,1.593,0.214,"setosa"
79,4.819,3.114,1.599,0.187,"setosa"
79,5.405,3.391,1.485,0.403,"setosa"
79,5.214,4.112,1.492,0.11,"setosa"
79,5.5,4.187,1.384,0.191,"setosa"
79,4.885,3.111,1.501,0.191,"setosa"
79,5,3.19,1.194,0.177,"setosa"
79,5.504,3.481,1.311,0.198,"setosa"
79,4.904,3.624,1.393,0.097,"setosa"
79,4.384,2.993,1.314,0.222,"setosa"
79,5.098,3.405,1.502,0.199,"setosa"
79,5.016,3.484,1.306,0.298,"setosa"
79,4.502,2.283,1.297,0.308,"setosa"
79,4.395,3.204,1.303,0.211,"setosa"
79,4.982,3.506,1.606,0.615,"setosa"
79,5.097,3.785,1.892,0.413,"setosa"
79,4.814,2.993,1.395,0.286,"setosa"
79,5.105,3.813,1.598,0.2,"setosa"
79,4.598,3.194,1.411,0.206,"setosa"
79,5.277,3.705,1.487,0.201,"setosa"
79,5.001,3.315,1.404,0.203,"setosa"
79,6.997,3.194,4.699,1.393,"versicolor"
