"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
68,5.098,3.483,1.403,0.192,"setosa"
68,4.88,2.982,1.408,0.189,"setosa"
68,4.686,3.201,1.285,0.196,"setosa"
68,4.598,3.098,1.515,0.219,"setosa"
68,4.997,3.593,1.402,0.211,"setosa"
68,5.405,3.871,1.702,0.403,"setosa"
68,4.596,3.407,1.4,0.301,"setosa"
68,5.007,3.404,1.489,0.191,"setosa"
68,4.396,2.9,1.374,0.198,"setosa"
68,4.901,3.11,1.517,0.101,"setosa"
68,5.401,3.7,1.504,0.215,"setosa"
68,4.797,3.403,1.604,0.192,"setosa"
68,4.806,2.992,1.39,0.1,"setosa"
68,4.314,3.017,1.105,0.122,"setosa"
68,5.817,3.994,1.176,0.2,"setosa"
68,5.691,4.41,1.502,0.419,"setosa"
68,5.409,3.893,1.298,0.406,"setosa"
68,5.113,3.502,1.39,0.314,"setosa"
68,5.705,3.793,1.685,0.305,"setosa"
68,5.107,3.803,1.5,0.309,"setosa"
68,5.393,3.392,1.686,0.202,"setosa"
68,5.102,3.673,1.502,0.402,"setosa"
68,4.614,3.593,1.002,0.211,"setosa"
68,5.1,3.305,1.694,0.473,"setosa"
68,4.787,3.423,1.904,0.212,"setosa"
68,4.988,2.996,1.599,0.209,"setosa"
68,5.001,3.396,1.609,0.402,"setosa"
68,5.206,3.5,1.498,0.204,"setosa"
68,5.193,3.389,1.386,0.211,"setosa"
68,4.704,3.202,1.6,0.19,"setosa"
68,4.779,3.106,1.595,0.184,"setosa"
68,5.38,3.408,1.495,0.41,"setosa"
68,5.185,4.1,1.496,0.095,"setosa"
68,5.5,4.189,1.412,0.201,"setosa"
68,4.924,3.088,1.498,0.184,"setosa"
68,4.993,3.189,1.207,0.204,"setosa"
68,5.512,3.495,1.293,0.214,"setosa"
68,4.903,3.583,1.392,0.111,"setosa"
68,4.381,2.984,1.313,0.188,"setosa"
68,5.1,3.396,1.503,0.198,"setosa"
68,4.995,3.481,1.315,0.295,"setosa"
68,4.499,2.279,1.309,0.303,"setosa"
68,4.422,3.207,1.289,0.194,"setosa"
68,5.016,3.513,1.592,0.585,"setosa"
68,5.092,3.799,1.877,0.393,"setosa"
68,4.799,2.99,1.404,0.295,"setosa"
68,5.104,3.797,1.609,0.196,"setosa"
68,4.599,3.193,1.411,0.207,"setosa"
68,5.301,3.697,1.499,0.208,"setosa"
68,4.991,3.296,1.391,0.182,"setosa"
68,6.986,3.192,4.704,1.381,"versicolor"
68,6.392,3.194,4.497,1.495,"versicolor"
68,6.896,3.091,4.912,1.508,"versicolor"
68,5.506,2.307,4.013,1.298,"versicolor"
68,6.499,2.804,4.589,1.503,"versicolor"
68,5.694,2.796,4.503,1.3,"versicolor"
