"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
70,5.098,3.51,1.408,0.19,"setosa"
70,4.908,3.004,1.408,0.202,"setosa"
70,4.707,3.196,1.293,0.214,"setosa"
70,4.598,3.094,1.499,0.206,"setosa"
70,5,3.594,1.392,0.221,"setosa"
70,5.396,3.911,1.718,0.4,"setosa"
70,4.589,3.392,1.402,0.297,"setosa"
70,5.003,3.398,1.489,0.208,"setosa"
70,4.399,2.9,1.394,0.213,"setosa"
70,4.898,3.112,1.497,0.086,"setosa"
70,5.398,3.71,1.497,0.184,"setosa"
70,4.79,3.404,1.604,0.2,"setosa"
70,4.808,2.983,1.41,0.092,"setosa"
70,4.276,3.007,1.095,0.108,"setosa"
70,5.79,3.988,1.208,0.201,"setosa"
70,5.703,4.4,1.508,0.407,"setosa"
70,5.399,3.898,1.307,0.4,"setosa"
70,5.094,3.498,1.401,0.309,"setosa"
70,5.708,3.8,1.715,0.294,"setosa"
70,5.098,3.81,1.5,0.284,"setosa"
70,5.394,3.409,1.681,0.206,"setosa"
70,5.112,3.706,1.506,0.401,"setosa"
70,4.602,3.597,1.016,0.203,"setosa"
70,5.098,3.297,1.703,0.512,"setosa"
70,4.782,3.394,1.907,0.199,"setosa"
70,5.003,2.997,1.608,0.194,"setosa"
70,4.996,3.392,1.605,0.406,"setosa"
70,5.204,3.475,1.502,0.187,"setosa"
70,5.197,3.412,1.393,0.201,"setosa"
70,4.698,3.199,1.585,0.183,"setosa"
70,4.805,3.081,1.593,0.196,"setosa"
70,5.399,3.4,1.509,0.405,"setosa"
70,5.209,4.083,1.525,0.112,"setosa"
70,5.49,4.186,1.418,0.201,"setosa"
70,4.906,3.116,1.506,0.215,"setosa"
70,5.017,3.2,1.212,0.209,"setosa"
70,5.512,3.508,1.305,0.186,"setosa"
70,4.899,3.604,1.419,0.096,"setosa"
70,4.4,2.986,1.314,0.218,"setosa"
70,5.111,3.399,1.509,0.185,"setosa"
70,4.983,3.493,1.319,0.298,"setosa"
70,4.507,2.281,1.3,0.288,"setosa"
70,4.402,3.183,1.307,0.201,"setosa"
70,4.988,3.493,1.586,0.608,"setosa"
70,5.081,3.793,1.9,0.393,"setosa"
70,4.797,3.002,1.391,0.275,"setosa"
70,5.104,3.79,1.598,0.2,"setosa"
70,4.6,3.205,1.402,0.197,"setosa"
70,5.302,3.701,1.496,0.2,"setosa"
70,4.998,3.303,1.39,0.193,"setosa"
70,6.995,3.195,4.694,1.399,"versicolor"
70,6.383,3.204,4.498,1.488,"versicolor"
70,6.893,3.102,4.891,1.5,"versicolor"
70,5.506,2.322,4.008,1.311,"versicolor"
70,6.476,2.814,4.601,1.501,"versicolor"
70,5.693,2.801,4.487,1.3,"versicolor"
70,6.312,3.294,4.712,1.588,"versicolor"
70,4.904,2.39,3.301,1.015,"versicolor"
70,6.593,2.906,4.587,1.292,"versicolor"
70,5.204,2.695,3.913,1.387,"versicolor"
70,4.975,1.987,3.497,0.996,"versicolor"
70,5.906,2.989,4.191,1.491,"versicolor"
70,5.989,2.183,3.979,0.986,"versicolor"
70,6.106,2.885,4.693,1.402,"versicolor"
70,5.601,2.908,3.608,1.306,"versicolor"
70,6.716,3.099,4.387,1.413,"versicolor"
70,5.592,3.005,4.513,1.519,"versicolor"
70,5.795,2.704,4.095,0.995,"versicolor"
70,6.199,2.2,4.497,1.499,"versicolor"
70,5.615,2.5,3.915,1.092,"versicolor"
70,5.895,3.199,4.801,1.808,"versicolor"
70,6.095,2.797,3.983,1.306,"versicolor"
70,6.303,2.503,4.908,1.506,"versicolor"
70,6.122,2.807,4.693,1.208,"versicolor"
