"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
43,5.119,3.511,1.39,0.205,"setosa"
43,4.895,3.001,1.405,0.194,"setosa"
43,4.695,3.2,1.313,0.179,"setosa"
43,4.593,3.095,1.51,0.193,"setosa"
43,4.991,3.597,1.417,0.196,"setosa"
43,5.403,3.892,1.701,0.395,"setosa"
43,4.568,3.39,1.402,0.302,"setosa"
43,5.007,3.394,1.495,0.192,"setosa"
43,4.385,2.892,1.408,0.213,"setosa"
43,4.896,3.091,1.511,0.093,"setosa"
43,5.407,3.716,1.504,0.208,"setosa"
43,4.796,3.4,1.605,0.193,"setosa"
43,4.808,3.017,1.411,0.115,"setosa"
43,4.288,3.001,1.086,0.108,"setosa"
43,5.818,4.017,1.188,0.191,"setosa"
43,5.699,4.416,1.496,0.402,"setosa"
43,5.399,3.898,1.301,0.4,"setosa"
43,5.136,3.524,1.387,0.295,"setosa"
43,5.688,3.805,1.702,0.297,"setosa"
43,5.104,3.798,1.5,0.284,"setosa"
43,5.409,3.396,1.703,0.214,"setosa"
43,5.094,3.677,1.5,0.408,"setosa"
43,4.597,3.6,0.989,0.199,"setosa"
43,5.088,3.297,1.693,0.494,"setosa"
43,4.788,3.4,1.926,0.19,"setosa"
43,5,3.001,1.601,0.201,"setosa"
43,4.992,3.397,1.621,0.398,"setosa"
43,5.206,3.495,1.499,0.203,"setosa"
43,5.197,3.409,1.396,0.2,"setosa"
43,4.704,3.196,1.606,0.195,"setosa"
43,4.821,3.106,1.581,0.184,"setosa"
43,5.41,3.407,1.508,0.402,"setosa"
43,5.198,4.09,1.515,0.106,"setosa"
43,5.489,4.198,1.389,0.193,"setosa"
43,4.905,3.096,1.512,0.202,"setosa"
43,4.991,3.211,1.198,0.191,"setosa"
43,5.5,3.498,1.308,0.197,"setosa"
43,4.904,3.605,1.409,0.098,"setosa"
43,4.399,3.01,1.311,0.22,"setosa"
43,5.1,3.408,1.504,0.18,"setosa"
43,4.995,3.497,1.308,0.303,"setosa"
43,4.504,2.293,1.309,0.31,"setosa"
43,4.404,3.204,1.277,0.213,"setosa"
43,5.01,3.491,1.607,0.614,"setosa"
43,5.095,3.801,1.893,0.394,"setosa"
43,4.795,2.975,1.414,0.309,"setosa"
43,5.099,3.793,1.602,0.195,"setosa"
43,4.59,3.213,1.402,0.215,"setosa"
43,5.302,3.711,1.504,0.216,"setosa"
43,4.983,3.294,1.407,0.21,"setosa"
43,7.017,3.208,4.707,1.393,"versicolor"
43,6.407,3.188,4.526,1.513,"versicolor"
43,6.913,3.107,4.902,1.488,"versicolor"
43,5.51,2.294,3.998,1.312,"versicolor"
43,6.482,2.798,4.603,1.499,"versicolor"
43,5.719,2.825,4.472,1.316,"versicolor"
43,6.289,3.301,4.701,1.609,"versicolor"
43,4.898,2.396,3.31,1.004,"versicolor"
43,6.593,2.913,4.598,1.296,"versicolor"
43,5.208,2.711,3.892,1.413,"versicolor"
43,4.989,2.004,3.502,0.995,"versicolor"
43,5.904,2.998,4.195,1.498,"versicolor"
43,6.01,2.189,4.004,1.004,"versicolor"
43,6.095,2.894,4.703,1.398,"versicolor"
43,5.589,2.912,3.576,1.305,"versicolor"
43,6.684,3.102,4.373,1.394,"versicolor"
43,5.606,3.011,4.497,1.487,"versicolor"
43,5.808,2.713,4.088,1.009,"versicolor"
43,6.208,2.207,4.503,1.498,"versicolor"
43,5.609,2.507,3.892,1.087,"versicolor"
43,5.903,3.193,4.807,1.789,"versicolor"
43,6.112,2.803,4.005,1.294,"versicolor"
43,6.285,2.501,4.909,1.484,"versicolor"
43,6.111,2.796,4.709,1.191,"versicolor"
43,6.39,2.902,4.298,1.299,"versicolor"
43,6.599,3.002,4.39,1.406,"versicolor"
43,6.799,2.801,4.791,1.404,"versicolor"
43,6.709,3.016,5.005,1.71,"versicolor"
43,5.981,2.913,4.49,1.497,"versicolor"
43,5.686,2.598,3.503,0.994,"versicolor"
43,5.489,2.388,3.79,1.115,"versicolor"
43,5.499,2.383,3.714,0.991,"versicolor"
43,5.808,2.705,3.878,1.216,"versicolor"
43,5.99,2.679,5.104,1.6,"versicolor"
43,5.382,3.006,4.486,1.498,"versicolor"
43,5.988,3.411,4.513,1.603,"versicolor"
43,6.7,3.101,4.685,1.514,"versicolor"
43,6.288,2.292,4.398,1.302,"versicolor"
43,5.577,2.99,4.09,1.297,"versicolor"
43,5.52,2.479,4.008,1.288,"versicolor"
43,5.513,2.593,4.402,1.206,"versicolor"
43,6.108,3.01,4.603,1.4,"versicolor"
43,5.788,2.613,4.009,1.194,"versicolor"
43,5.015,2.301,3.309,1.011,"versicolor"
43,5.609,2.691,4.187,1.306,"versicolor"
43,5.706,3.001,4.222,1.198,"versicolor"
43,5.696,2.926,4.186,1.288,"versicolor"
43,6.204,2.902,4.3,1.319,"versicolor"
43,5.107,2.487,3.006,1.098,"versicolor"
43,5.709,2.81,4.106,1.314,"versicolor"
43,6.298,3.313,5.997,2.513,"virginica"
43,5.792,2.71,5.081,1.905,"virginica"
43,7.092,2.996,5.903,2.102,"virginica"
43,6.303,2.88,5.605,1.783,"virginica"
43,6.5,3,5.802,2.204,"virginica"
43,7.59,2.992,6.611,2.104,"virginica"
43,4.913,2.497,4.494,1.712,"virginica"
43,7.3,2.899,6.322,1.795,"virginica"
43,6.718,2.5,5.796,1.809,"virginica"
43,7.194,3.59,6.103,2.5,"virginica"
43,6.498,3.204,5.104,1.99,"virginica"
43,6.398,2.71,5.288,1.899,"virginica"
43,6.801,2.988,5.49,2.085,"virginica"
43,5.709,2.515,4.998,1.983,"virginica"
43,5.816,2.789,5.112,2.4,"virginica"
43,6.404,3.194,5.298,2.295,"virginica"
43,6.499,2.996,5.503,1.807,"virginica"
43,7.691,3.813,6.698,2.196,"virginica"
43,7.698,2.605,6.903,2.28,"virginica"
43,5.993,2.205,5,1.515,"virginica"
43,6.904,3.195,5.702,2.3,"virginica"
43,5.597,2.815,4.89,1.996,"virginica"
43,7.699,2.807,6.696,2.004,"virginica"
43,6.313,2.695,4.9,1.783,"virginica"
43,6.699,3.311,5.691,2.095,"virginica"
43,7.212,3.18,5.989,1.798,"virginica"
43,6.201,2.8,4.791,1.805,"virginica"
43,6.103,2.998,4.894,1.801,"virginica"
43,6.392,2.799,5.595,2.109,"virginica"
43,7.187,3.004,5.803,1.593,"virginica"
43,7.387,2.806,6.092,1.897,"virginica"
43,7.896,3.806,6.39,1.999,"virginica"
43,6.404,2.799,5.602,2.193,"virginica"
43,6.29,2.807,5.114,1.504,"virginica"
43,6.094,2.614,5.598,1.41,"virginica"
43,7.7,2.998,6.103,2.289,"virginica"
43,6.299,3.405,5.592,2.403,"virginica"
43,6.403,3.105,5.52,1.783,"virginica"
43,5.986,3.009,4.806,1.814,"virginica"
43,6.894,3.1,5.38,2.097,"virginica"
43,6.7,3.096,5.6,2.428,"virginica"
43,6.902,3.131,5.108,2.293,"virginica"
43,5.788,2.706,5.11,1.902,"virginica"
43,6.801,3.194,5.898,2.296,"virginica"
43,6.707,3.298,5.695,2.502,"virginica"
43,6.697,3.006,5.203,2.289,"virginica"
43,6.297,2.504,5.02,1.899,"virginica"
43,6.5,3.003,5.21,2.018,"virginica"
43,6.185,3.402,5.399,2.281,"virginica"
43,5.903,2.992,5.113,1.793,"virginica"
