"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
29,5.095,3.482,1.392,0.197,"setosa"
29,4.902,3.004,1.398,0.204,"setosa"
29,4.705,3.194,1.304,0.207,"setosa"
29,4.601,3.085,1.508,0.188,"setosa"
29,4.995,3.596,1.377,0.204,"setosa"
29,5.398,3.912,1.693,0.408,"setosa"
29,4.605,3.409,1.402,0.298,"setosa"
29,5.014,3.402,1.508,0.206,"setosa"
29,4.386,2.896,1.404,0.187,"setosa"
29,4.902,3.093,1.503,0.113,"setosa"
29,5.399,3.698,1.489,0.209,"setosa"
29,4.82,3.385,1.593,0.202,"setosa"
29,4.796,2.989,1.4,0.086,"setosa"
29,4.313,2.994,1.103,0.106,"setosa"
29,5.804,3.994,1.203,0.183,"setosa"
29,5.711,4.394,1.492,0.399,"setosa"
29,5.404,3.897,1.313,0.406,"setosa"
29,5.106,3.484,1.387,0.313,"setosa"
29,5.698,3.811,1.687,0.29,"setosa"
29,5.109,3.802,1.492,0.299,"setosa"
29,5.382,3.409,1.704,0.193,"setosa"
29,5.094,3.688,1.505,0.39,"setosa"
29,4.601,3.59,0.991,0.205,"setosa"
29,5.098,3.296,1.706,0.506,"setosa"
29,4.779,3.408,1.916,0.203,"setosa"
29,5.01,3.016,1.597,0.207,"setosa"
29,4.989,3.392,1.601,0.4,"setosa"
29,5.197,3.508,1.504,0.186,"setosa"
29,5.194,3.402,1.398,0.205,"setosa"
29,4.687,3.209,1.618,0.221,"setosa"
29,4.797,3.1,1.613,0.203,"setosa"
29,5.395,3.4,1.505,0.406,"setosa"
29,5.197,4.09,1.497,0.1,"setosa"
29,5.506,4.207,1.383,0.189,"setosa"
29,4.899,3.1,1.506,0.199,"setosa"
29,5.014,3.204,1.188,0.19,"setosa"
29,5.504,3.502,1.306,0.214,"setosa"
29,4.889,3.622,1.397,0.093,"setosa"
29,4.42,2.991,1.298,0.201,"setosa"
29,5.132,3.395,1.497,0.17,"setosa"
29,4.997,3.489,1.3,0.298,"setosa"
29,4.491,2.297,1.313,0.293,"setosa"
29,4.39,3.185,1.322,0.193,"setosa"
29,5.011,3.51,1.601,0.58,"setosa"
29,5.106,3.809,1.911,0.395,"setosa"
29,4.82,3.003,1.404,0.296,"setosa"
29,5.106,3.781,1.605,0.198,"setosa"
29,4.612,3.203,1.388,0.202,"setosa"
