"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
16,5.081,3.495,1.415,0.218,"setosa"
16,4.926,2.993,1.395,0.207,"setosa"
16,4.692,3.206,1.295,0.202,"setosa"
16,4.612,3.089,1.496,0.19,"setosa"
16,5.003,3.605,1.395,0.194,"setosa"
16,5.399,3.9,1.696,0.419,"setosa"
16,4.595,3.431,1.387,0.286,"setosa"
16,5.002,3.409,1.488,0.204,"setosa"
16,4.388,2.905,1.389,0.199,"setosa"
16,4.909,3.113,1.502,0.097,"setosa"
16,5.398,3.694,1.505,0.193,"setosa"
16,4.789,3.41,1.593,0.191,"setosa"
16,4.803,2.995,1.387,0.105,"setosa"
16,4.302,2.992,1.106,0.114,"setosa"
16,5.807,4.014,1.204,0.209,"setosa"
16,5.674,4.411,1.503,0.396,"setosa"
16,5.402,3.88,1.303,0.405,"setosa"
16,5.095,3.497,1.397,0.307,"setosa"
16,5.712,3.797,1.703,0.324,"setosa"
16,5.106,3.804,1.504,0.303,"setosa"
16,5.397,3.386,1.694,0.199,"setosa"
16,5.102,3.702,1.475,0.413,"setosa"
16,4.607,3.58,0.995,0.2,"setosa"
16,5.102,3.301,1.714,0.502,"setosa"
16,4.79,3.409,1.908,0.197,"setosa"
16,4.998,2.99,1.595,0.199,"setosa"
16,5.007,3.395,1.593,0.386,"setosa"
16,5.21,3.483,1.492,0.192,"setosa"
16,5.193,3.403,1.418,0.212,"setosa"
16,4.692,3.21,1.599,0.196,"setosa"
16,4.797,3.078,1.595,0.2,"setosa"
16,5.412,3.401,1.498,0.394,"setosa"
16,5.187,4.088,1.502,0.093,"setosa"
16,5.497,4.195,1.402,0.214,"setosa"
16,4.908,3.097,1.514,0.188,"setosa"
16,4.98,3.196,1.211,0.197,"setosa"
16,5.49,3.502,1.292,0.187,"setosa"
16,4.886,3.615,1.394,0.096,"setosa"
16,4.402,2.985,1.28,0.186,"setosa"
16,5.082,3.415,1.492,0.198,"setosa"
16,5.012,3.503,1.299,0.299,"setosa"
16,4.492,2.289,1.305,0.289,"setosa"
16,4.396,3.211,1.309,0.213,"setosa"
