"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
33,5.113,3.485,1.39,0.193,"setosa"
33,4.904,3.001,1.396,0.194,"setosa"
33,4.689,3.19,1.3,0.209,"setosa"
33,4.617,3.103,1.507,0.178,"setosa"
33,4.999,3.629,1.391,0.187,"setosa"
33,5.401,3.902,1.7,0.407,"setosa"
33,4.599,3.407,1.416,0.295,"setosa"
33,4.985,3.408,1.502,0.186,"setosa"
33,4.411,2.894,1.389,0.186,"setosa"
33,4.89,3.108,1.504,0.094,"setosa"
33,5.398,3.685,1.503,0.186,"setosa"
33,4.802,3.411,1.592,0.202,"setosa"
33,4.819,2.998,1.406,0.092,"setosa"
33,4.299,3,1.088,0.112,"setosa"
33,5.787,4.008,1.194,0.196,"setosa"
33,5.695,4.415,1.495,0.405,"setosa"
33,5.406,3.899,1.286,0.388,"setosa"
33,5.106,3.502,1.391,0.305,"setosa"
33,5.673,3.799,1.692,0.298,"setosa"
33,5.11,3.794,1.484,0.31,"setosa"
33,5.416,3.384,1.708,0.195,"setosa"
33,5.086,3.694,1.507,0.391,"setosa"
33,4.595,3.616,0.997,0.207,"setosa"
33,5.111,3.287,1.701,0.51,"setosa"
33,4.798,3.394,1.916,0.191,"setosa"
33,5.012,3.004,1.604,0.195,"setosa"
33,4.986,3.407,1.586,0.398,"setosa"
33,5.198,3.484,1.493,0.202,"setosa"
33,5.202,3.401,1.4,0.203,"setosa"
33,4.692,3.2,1.606,0.206,"setosa"
33,4.793,3.112,1.6,0.213,"setosa"
33,5.38,3.396,1.51,0.394,"setosa"
33,5.21,4.117,1.492,0.095,"setosa"
33,5.497,4.206,1.393,0.202,"setosa"
33,4.887,3.096,1.502,0.186,"setosa"
33,5.004,3.195,1.211,0.194,"setosa"
33,5.478,3.501,1.313,0.192,"setosa"
33,4.901,3.597,1.397,0.092,"setosa"
33,4.397,3.003,1.288,0.196,"setosa"
33,5.098,3.406,1.502,0.209,"setosa"
33,4.985,3.499,1.31,0.293,"setosa"
33,4.494,2.285,1.3,0.309,"setosa"
33,4.414,3.195,1.306,0.181,"setosa"
33,5.007,3.495,1.594,0.603,"setosa"
33,5.101,3.778,1.894,0.396,"setosa"
33,4.797,3,1.394,0.307,"setosa"
33,5.096,3.794,1.6,0.195,"setosa"
33,4.597,3.204,1.405,0.206,"setosa"
33,5.283,3.706,1.489,0.194,"setosa"
33,4.995,3.3,1.404,0.192,"setosa"
