"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
22,5.101,3.484,1.404,0.197,"setosa"
22,4.897,2.99,1.414,0.184,"setosa"
22,4.715,3.205,1.298,0.187,"setosa"
22,4.594,3.101,1.505,0.194,"setosa"
22,5.001,3.597,1.395,0.19,"setosa"
22,5.411,3.898,1.689,0.396,"setosa"
22,4.591,3.406,1.396,0.296,"setosa"
22,5.01,3.388,1.499,0.197,"setosa"
22,4.399,2.885,1.408,0.19,"setosa"
22,4.905,3.096,1.501,0.096,"setosa"
22,5.402,3.705,1.489,0.196,"setosa"
22,4.791,3.406,1.605,0.203,"setosa"
22,4.808,2.988,1.408,0.115,"setosa"
22,4.295,3.002,1.1,0.099,"setosa"
22,5.815,4.002,1.21,0.202,"setosa"
22,5.712,4.411,1.504,0.405,"setosa"
22,5.407,3.896,1.284,0.408,"setosa"
22,5.09,3.496,1.395,0.309,"setosa"
22,5.72,3.812,1.715,0.312,"setosa"
22,5.086,3.798,1.493,0.283,"setosa"
22,5.402,3.393,1.705,0.203,"setosa"
22,5.116,3.719,1.529,0.387,"setosa"
22,4.594,3.599,0.998,0.199,"setosa"
22,5.106,3.317,1.685,0.506,"setosa"
22,4.796,3.393,1.898,0.202,"setosa"
22,5.008,2.988,1.601,0.192,"setosa"
22,5.002,3.39,1.614,0.397,"setosa"
22,5.224,3.492,1.495,0.211,"setosa"
22,5.204,3.404,1.398,0.194,"setosa"
22,4.708,3.201,1.601,0.187,"setosa"
22,4.814,3.103,1.59,0.213,"setosa"
22,5.41,3.409,1.501,0.402,"setosa"
22,5.211,4.107,1.488,0.107,"setosa"
22,5.515,4.199,1.402,0.203,"setosa"
22,4.882,3.099,1.499,0.198,"setosa"
22,5.012,3.196,1.208,0.192,"setosa"
22,5.495,3.496,1.303,0.186,"setosa"
22,4.913,3.604,1.391,0.107,"setosa"
22,4.419,2.995,1.314,0.191,"setosa"
22,5.098,3.411,1.499,0.179,"setosa"
22,5.005,3.472,1.292,0.296,"setosa"
22,4.508,2.326,1.313,0.306,"setosa"
22,4.401,3.193,1.316,0.206,"setosa"
22,5.006,3.493,1.595,0.601,"setosa"
22,5.093,3.784,1.902,0.388,"setosa"
22,4.816,3.014,1.422,0.303,"setosa"
22,5.1,3.789,1.589,0.193,"setosa"
22,4.606,3.196,1.407,0.189,"setosa"
22,5.304,3.701,1.49,0.203,"setosa"
22,4.992,3.29,1.404,0.208,"setosa"
22,7.019,3.217,4.701,1.368,"versicolor"
22,6.405,3.193,4.512,1.504,"versicolor"
22,6.895,3.112,4.898,1.509,"versicolor"
22,5.497,2.308,3.984,1.314,"versicolor"
22,6.512,2.798,4.61,1.489,"versicolor"
22,5.701,2.797,4.495,1.304,"versicolor"
22,6.297,3.291,4.696,1.601,"versicolor"
22,4.901,2.406,3.294,0.983,"versicolor"
22,6.617,2.91,4.605,1.289,"versicolor"
22,5.191,2.692,3.905,1.409,"versicolor"
22,5.009,1.997,3.506,0.998,"versicolor"
22,5.906,3.001,4.189,1.49,"versicolor"
22,6.012,2.19,4.001,1.008,"versicolor"
22,6.078,2.93,4.683,1.395,"versicolor"
22,5.617,2.91,3.591,1.306,"versicolor"
22,6.707,3.114,4.396,1.39,"versicolor"
22,5.594,3.02,4.497,1.487,"versicolor"
22,5.815,2.678,4.094,0.991,"versicolor"
22,6.19,2.213,4.496,1.502,"versicolor"
22,5.595,2.51,3.902,1.084,"versicolor"
22,5.887,3.202,4.808,1.807,"versicolor"
22,6.099,2.779,4.012,1.313,"versicolor"
22,6.307,2.516,4.907,1.491,"versicolor"
22,6.098,2.814,4.694,1.198,"versicolor"
22,6.393,2.894,4.304,1.304,"versicolor"
