"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
36,5.103,3.485,1.393,0.193,"setosa"
36,4.899,2.993,1.4,0.187,"setosa"
36,4.704,3.206,1.309,0.211,"setosa"
36,4.607,3.098,1.503,0.185,"setosa"
36,4.998,3.601,1.388,0.171,"setosa"
36,5.392,3.885,1.714,0.398,"setosa"
36,4.618,3.396,1.4,0.312,"setosa"
36,5.002,3.389,1.498,0.211,"setosa"
36,4.405,2.89,1.39,0.186,"setosa"
36,4.892,3.111,1.487,0.087,"setosa"
36,5.408,3.709,1.479,0.19,"setosa"
36,4.793,3.408,1.606,0.189,"setosa"
36,4.784,2.989,1.415,0.098,"setosa"
36,4.283,3.001,1.105,0.095,"setosa"
36,5.81,3.99,1.199,0.189,"setosa"
36,5.692,4.38,1.504,0.403,"setosa"
36,5.414,3.902,1.299,0.398,"setosa"
36,5.105,3.508,1.4,0.305,"setosa"
36,5.684,3.798,1.704,0.312,"setosa"
36,5.11,3.821,1.507,0.293,"setosa"
36,5.398,3.411,1.714,0.207,"setosa"
36,5.1,3.683,1.496,0.397,"setosa"
36,4.578,3.605,1.004,0.209,"setosa"
36,5.099,3.318,1.686,0.495,"setosa"
36,4.788,3.386,1.928,0.205,"setosa"
36,4.998,2.989,1.6,0.19,"setosa"
36,4.998,3.405,1.625,0.412,"setosa"
36,5.185,3.504,1.504,0.187,"setosa"
36,5.186,3.403,1.418,0.203,"setosa"
36,4.692,3.199,1.601,0.2,"setosa"
36,4.796,3.113,1.605,0.207,"setosa"
36,5.395,3.401,1.498,0.409,"setosa"
36,5.196,4.095,1.494,0.076,"setosa"
36,5.501,4.206,1.4,0.199,"setosa"
36,4.907,3.101,1.517,0.228,"setosa"
36,4.998,3.208,1.196,0.196,"setosa"
36,5.498,3.493,1.295,0.195,"setosa"
36,4.916,3.6,1.413,0.091,"setosa"
36,4.414,2.996,1.304,0.202,"setosa"
36,5.103,3.404,1.511,0.187,"setosa"
36,4.976,3.509,1.287,0.29,"setosa"
36,4.502,2.305,1.299,0.291,"setosa"
36,4.414,3.194,1.303,0.207,"setosa"
36,5.001,3.495,1.62,0.587,"setosa"
36,5.115,3.793,1.902,0.404,"setosa"
36,4.8,2.995,1.407,0.299,"setosa"
36,5.105,3.806,1.595,0.202,"setosa"
36,4.59,3.19,1.419,0.211,"setosa"
36,5.308,3.685,1.504,0.196,"setosa"
36,5.014,3.304,1.389,0.2,"setosa"
36,6.982,3.205,4.703,1.406,"versicolor"
36,6.397,3.205,4.485,1.512,"versicolor"
36,6.903,3.109,4.909,1.517,"versicolor"
36,5.507,2.285,3.991,1.308,"versicolor"
36,6.496,2.808,4.593,1.506,"versicolor"
36,5.685,2.794,4.507,1.275,"versicolor"
36,6.277,3.311,4.685,1.597,"versicolor"
36,4.886,2.391,3.303,0.977,"versicolor"
36,6.606,2.907,4.6,1.317,"versicolor"
36,5.198,2.711,3.896,1.405,"versicolor"
36,4.997,1.988,3.497,1.001,"versicolor"
36,5.909,2.992,4.22,1.499,"versicolor"
36,5.991,2.193,3.999,1.005,"versicolor"
36,6.1,2.903,4.71,1.383,"versicolor"
36,5.597,2.898,3.612,1.297,"versicolor"
36,6.691,3.094,4.409,1.401,"versicolor"
36,5.595,3.02,4.506,1.522,"versicolor"
36,5.807,2.703,4.109,1.001,"versicolor"
36,6.216,2.165,4.484,1.5,"versicolor"
36,5.608,2.508,3.896,1.106,"versicolor"
36,5.883,3.19,4.789,1.811,"versicolor"
36,6.106,2.797,4.006,1.272,"versicolor"
36,6.296,2.499,4.898,1.505,"versicolor"
36,6.112,2.823,4.685,1.215,"versicolor"
36,6.386,2.908,4.296,1.276,"versicolor"
36,6.586,3.009,4.416,1.429,"versicolor"
36,6.788,2.806,4.81,1.412,"versicolor"
36,6.69,2.995,4.993,1.699,"versicolor"
36,5.987,2.913,4.509,1.508,"versicolor"
36,5.701,2.599,3.504,0.987,"versicolor"
36,5.504,2.399,3.802,1.093,"versicolor"
36,5.495,2.394,3.699,0.984,"versicolor"
36,5.796,2.69,3.894,1.211,"versicolor"
36,5.997,2.701,5.102,1.602,"versicolor"
36,5.407,2.98,4.483,1.519,"versicolor"
36,6.006,3.419,4.486,1.586,"versicolor"
36,6.706,3.107,4.698,1.5,"versicolor"
36,6.301,2.302,4.397,1.286,"versicolor"
36,5.604,3.006,4.115,1.301,"versicolor"
36,5.511,2.487,4.012,1.31,"versicolor"
36,5.497,2.601,4.402,1.204,"versicolor"
36,6.102,2.989,4.604,1.422,"versicolor"
