"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
91,5.113,3.487,1.388,0.197,"setosa"
91,4.885,3.006,1.41,0.215,"setosa"
91,4.695,3.197,1.297,0.2,"setosa"
91,4.602,3.109,1.51,0.214,"setosa"
91,4.993,3.597,1.388,0.194,"setosa"
91,5.41,3.885,1.697,0.417,"setosa"
91,4.6,3.406,1.401,0.299,"setosa"
91,4.988,3.384,1.496,0.185,"setosa"
91,4.403,2.895,1.408,0.188,"setosa"
91,4.9,3.091,1.513,0.096,"setosa"
91,5.405,3.706,1.494,0.207,"setosa"
91,4.81,3.401,1.612,0.199,"setosa"
91,4.798,2.991,1.415,0.101,"setosa"
91,4.294,3.005,1.096,0.09,"setosa"
91,5.797,4.001,1.205,0.198,"setosa"
91,5.719,4.398,1.486,0.407,"setosa"
91,5.403,3.901,1.299,0.398,"setosa"
91,5.095,3.509,1.415,0.299,"setosa"
91,5.687,3.787,1.687,0.296,"setosa"
91,5.096,3.795,1.491,0.305,"setosa"
91,5.389,3.405,1.692,0.214,"setosa"
91,5.108,3.702,1.504,0.41,"setosa"
91,4.615,3.617,0.975,0.22,"setosa"
91,5.092,3.309,1.693,0.502,"setosa"
91,4.824,3.404,1.909,0.202,"setosa"
91,4.989,2.998,1.59,0.2,"setosa"
91,5.006,3.381,1.599,0.425,"setosa"
91,5.207,3.521,1.506,0.209,"setosa"
91,5.192,3.4,1.397,0.194,"setosa"
91,4.704,3.194,1.601,0.193,"setosa"
91,4.81,3.103,1.612,0.205,"setosa"
91,5.393,3.395,1.49,0.405,"setosa"
91,5.197,4.11,1.496,0.103,"setosa"
91,5.517,4.22,1.392,0.214,"setosa"
91,4.881,3.104,1.509,0.188,"setosa"
91,4.992,3.195,1.183,0.214,"setosa"
91,5.5,3.489,1.295,0.211,"setosa"
91,4.894,3.597,1.411,0.086,"setosa"
91,4.398,3,1.294,0.204,"setosa"
91,5.098,3.398,1.499,0.195,"setosa"
91,5.009,3.485,1.285,0.316,"setosa"
91,4.501,2.295,1.29,0.303,"setosa"
91,4.407,3.185,1.307,0.194,"setosa"
91,5.001,3.502,1.608,0.599,"setosa"
91,5.106,3.799,1.898,0.391,"setosa"
91,4.809,3.023,1.416,0.294,"setosa"
91,5.085,3.802,1.588,0.189,"setosa"
91,4.609,3.185,1.419,0.181,"setosa"
91,5.301,3.701,1.507,0.203,"setosa"
91,5.005,3.311,1.401,0.187,"setosa"
91,7.005,3.193,4.702,1.399,"versicolor"
91,6.411,3.21,4.495,1.502,"versicolor"
91,6.917,3.11,4.909,1.517,"versicolor"
91,5.49,2.299,3.99,1.302,"versicolor"
91,6.5,2.797,4.604,1.499,"versicolor"
91,5.699,2.798,4.509,1.316,"versicolor"
91,6.291,3.303,4.696,1.588,"versicolor"
91,4.894,2.397,3.301,1.002,"versicolor"
91,6.596,2.901,4.599,1.303,"versicolor"
91,5.193,2.71,3.888,1.41,"versicolor"
91,5.001,2,3.486,0.991,"versicolor"
91,5.91,2.998,4.201,1.497,"versicolor"
91,5.983,2.191,3.994,0.994,"versicolor"
91,6.107,2.912,4.7,1.389,"versicolor"
91,5.59,2.913,3.598,1.317,"versicolor"
91,6.687,3.091,4.398,1.39,"versicolor"
