"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
76,5.099,3.496,1.408,0.208,"setosa"
76,4.902,2.986,1.405,0.207,"setosa"
76,4.705,3.198,1.296,0.207,"setosa"
76,4.594,3.083,1.5,0.188,"setosa"
76,4.998,3.605,1.407,0.197,"setosa"
76,5.401,3.9,1.696,0.403,"setosa"
76,4.6,3.4,1.392,0.297,"setosa"
76,4.986,3.4,1.504,0.187,"setosa"
76,4.378,2.905,1.411,0.216,"setosa"
76,4.894,3.11,1.498,0.102,"setosa"
76,5.413,3.694,1.507,0.184,"setosa"
76,4.821,3.416,1.601,0.209,"setosa"
76,4.803,3.007,1.406,0.111,"setosa"
76,4.29,2.98,1.107,0.091,"setosa"
76,5.791,4.013,1.218,0.192,"setosa"
76,5.726,4.413,1.506,0.387,"setosa"
76,5.417,3.898,1.324,0.399,"setosa"
76,5.087,3.517,1.42,0.3,"setosa"
76,5.696,3.81,1.709,0.298,"setosa"
76,5.102,3.798,1.497,0.3,"setosa"
76,5.415,3.407,1.71,0.205,"setosa"
76,5.115,3.701,1.502,0.397,"setosa"
76,4.604,3.588,0.984,0.197,"setosa"
76,5.091,3.313,1.694,0.501,"setosa"
76,4.791,3.408,1.886,0.184,"setosa"
76,5.002,2.991,1.62,0.198,"setosa"
76,4.992,3.395,1.613,0.39,"setosa"
76,5.199,3.484,1.506,0.204,"setosa"
76,5.232,3.386,1.42,0.208,"setosa"
76,4.697,3.2,1.614,0.19,"setosa"
76,4.794,3.115,1.617,0.197,"setosa"
76,5.405,3.415,1.482,0.395,"setosa"
76,5.212,4.097,1.504,0.088,"setosa"
76,5.509,4.202,1.401,0.192,"setosa"
76,4.908,3.118,1.506,0.193,"setosa"
76,5.016,3.198,1.184,0.19,"setosa"
76,5.495,3.487,1.295,0.201,"setosa"
76,4.901,3.593,1.391,0.105,"setosa"
76,4.405,2.984,1.312,0.216,"setosa"
76,5.105,3.411,1.509,0.21,"setosa"
76,5.012,3.498,1.282,0.302,"setosa"
76,4.518,2.287,1.308,0.297,"setosa"
76,4.404,3.232,1.3,0.188,"setosa"
76,4.989,3.505,1.59,0.612,"setosa"
76,5.081,3.784,1.901,0.39,"setosa"
76,4.788,2.991,1.421,0.297,"setosa"
76,5.109,3.798,1.607,0.181,"setosa"
76,4.599,3.189,1.399,0.217,"setosa"
76,5.291,3.692,1.521,0.181,"setosa"
76,4.986,3.281,1.388,0.209,"setosa"
76,7.014,3.196,4.704,1.406,"versicolor"
76,6.385,3.212,4.497,1.501,"versicolor"
76,6.894,3.091,4.914,1.505,"versicolor"
76,5.519,2.31,3.992,1.299,"versicolor"
76,6.499,2.785,4.595,1.502,"versicolor"
76,5.674,2.817,4.503,1.298,"versicolor"
76,6.302,3.304,4.685,1.603,"versicolor"
76,4.893,2.4,3.299,0.994,"versicolor"
76,6.613,2.892,4.594,1.306,"versicolor"
76,5.198,2.693,3.9,1.394,"versicolor"
76,4.986,1.982,3.496,1.011,"versicolor"
76,5.901,3.009,4.224,1.475,"versicolor"
76,6.004,2.21,4.005,1.006,"versicolor"
76,6.096,2.907,4.705,1.4,"versicolor"
76,5.6,2.898,3.612,1.296,"versicolor"
76,6.712,3.105,4.393,1.401,"versicolor"
76,5.605,2.992,4.508,1.503,"versicolor"
76,5.808,2.706,4.105,0.992,"versicolor"
76,6.204,2.207,4.503,1.509,"versicolor"
76,5.593,2.497,3.912,1.086,"versicolor"
76,5.888,3.195,4.81,1.79,"versicolor"
76,6.106,2.798,4.011,1.295,"versicolor"
76,6.288,2.503,4.907,1.493,"versicolor"
76,6.103,2.809,4.711,1.207,"versicolor"
76,6.408,2.889,4.295,1.297,"versicolor"
76,6.601,2.996,4.401,1.386,"versicolor"
76,6.806,2.798,4.781,1.398,"versicolor"
76,6.692,3.002,4.998,1.713,"versicolor"
76,6.008,2.909,4.49,1.488,"versicolor"
76,5.706,2.617,3.468,1.01,"versicolor"
76,5.5,2.394,3.794,1.124,"versicolor"
76,5.503,2.398,3.698,1.004,"versicolor"
76,5.776,2.708,3.896,1.193,"versicolor"
76,6.013,2.697,5.11,1.611,"versicolor"
76,5.42,3.005,4.503,1.5,"versicolor"
76,6.004,3.388,4.499,1.585,"versicolor"
76,6.687,3.122,4.7,1.517,"versicolor"
76,6.317,2.311,4.402,1.305,"versicolor"
76,5.592,3.011,4.108,1.292,"versicolor"
76,5.48,2.486,3.988,1.309,"versicolor"
76,5.515,2.588,4.413,1.219,"versicolor"
76,6.087,3.014,4.592,1.404,"versicolor"
76,5.793,2.602,3.979,1.2,"versicolor"
76,5.003,2.299,3.3,1,"versicolor"
76,5.602,2.719,4.212,1.293,"versicolor"
76,5.693,3.006,4.186,1.204,"versicolor"
76,5.704,2.906,4.197,1.29,"versicolor"
76,6.192,2.913,4.293,1.304,"versicolor"
76,5.099,2.492,2.996,1.11,"versicolor"
76,5.682,2.814,4.103,1.295,"versicolor"
76,6.308,3.281,5.981,2.509,"virginica"
76,5.811,2.696,5.1,1.9,"virginica"
76,7.1,3.005,5.893,2.103,"virginica"
76,6.281,2.898,5.61,1.801,"virginica"
76,6.491,3.001,5.802,2.19,"virginica"
76,7.597,3.002,6.603,2.086,"virginica"
76,4.922,2.497,4.492,1.718,"virginica"
76,7.284,2.915,6.291,1.816,"virginica"
76,6.713,2.502,5.814,1.806,"virginica"
76,7.2,3.591,6.102,2.511,"virginica"
76,6.49,3.2,5.099,2.002,"virginica"
76,6.415,2.705,5.298,1.904,"virginica"
76,6.791,2.982,5.494,2.11,"virginica"
76,5.705,2.495,5.001,1.995,"virginica"
76,5.805,2.839,5.105,2.416,"virginica"
76,6.411,3.19,5.303,2.296,"virginica"
76,6.507,2.989,5.51,1.799,"virginica"
76,7.705,3.781,6.691,2.203,"virginica"
76,7.7,2.585,6.908,2.31,"virginica"
76,6.001,2.199,5.005,1.498,"virginica"
76,6.897,3.199,5.685,2.303,"virginica"
76,5.601,2.8,4.889,2,"virginica"
76,7.716,2.785,6.697,2.012,"virginica"
76,6.302,2.705,4.903,1.803,"virginica"
76,6.692,3.321,5.676,2.097,"virginica"
76,7.209,3.18,5.996,1.797,"virginica"
76,6.19,2.806,4.798,1.813,"virginica"
76,6.104,3.004,4.896,1.811,"virginica"
76,6.401,2.79,5.598,2.094,"virginica"
76,7.212,2.995,5.8,1.598,"virginica"
76,7.389,2.792,6.109,1.896,"virginica"
76,7.868,3.796,6.404,1.995,"virginica"
76,6.395,2.807,5.604,2.191,"virginica"
76,6.297,2.786,5.114,1.518,"virginica"
76,6.096,2.603,5.594,1.424,"virginica"
76,7.701,2.986,6.103,2.297,"virginica"
76,6.311,3.416,5.587,2.392,"virginica"
76,6.415,3.101,5.504,1.799,"virginica"
76,6.004,2.989,4.792,1.796,"virginica"
76,6.894,3.093,5.399,2.102,"virginica"
76,6.694,3.095,5.599,2.389,"virginica"
76,6.875,3.096,5.075,2.312,"virginica"
76,5.789,2.717,5.096,1.877,"virginica"
76,6.818,3.207,5.91,2.319,"virginica"
76,6.707,3.306,5.678,2.499,"virginica"
76,6.704,3,5.2,2.29,"virginica"
76,6.296,2.483,5.007,1.912,"virginica"
76,6.505,3.012,5.206,1.994,"virginica"
76,6.204,3.401,5.411,2.285,"virginica"
76,5.898,2.981,5.094,1.78,"virginica"
