"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
88,5.103,3.5,1.401,0.203,"setosa"
88,4.905,2.998,1.408,0.21,"setosa"
88,4.711,3.192,1.31,0.195,"setosa"
88,4.598,3.103,1.477,0.209,"setosa"
88,4.994,3.597,1.389,0.182,"setosa"
88,5.399,3.899,1.705,0.393,"setosa"
88,4.613,3.391,1.389,0.31,"setosa"
88,4.999,3.395,1.521,0.195,"setosa"
88,4.393,2.9,1.408,0.196,"setosa"
88,4.909,3.107,1.515,0.083,"setosa"
88,5.396,3.701,1.497,0.212,"setosa"
88,4.79,3.403,1.588,0.184,"setosa"
88,4.801,3,1.386,0.101,"setosa"
88,4.305,2.995,1.109,0.112,"setosa"
88,5.812,3.987,1.215,0.19,"setosa"
88,5.706,4.385,1.518,0.411,"setosa"
88,5.404,3.904,1.291,0.403,"setosa"
88,5.108,3.506,1.395,0.3,"setosa"
88,5.71,3.78,1.703,0.314,"setosa"
88,5.097,3.8,1.488,0.29,"setosa"
88,5.387,3.402,1.72,0.195,"setosa"
88,5.089,3.699,1.487,0.401,"setosa"
88,4.619,3.584,0.999,0.2,"setosa"
88,5.106,3.293,1.688,0.487,"setosa"
88,4.806,3.38,1.905,0.206,"setosa"
88,5.003,2.996,1.61,0.199,"setosa"
88,4.983,3.412,1.591,0.408,"setosa"
88,5.204,3.482,1.497,0.189,"setosa"
88,5.202,3.397,1.393,0.198,"setosa"
88,4.705,3.199,1.611,0.197,"setosa"
88,4.803,3.091,1.596,0.202,"setosa"
88,5.402,3.397,1.517,0.412,"setosa"
88,5.197,4.106,1.495,0.093,"setosa"
88,5.497,4.208,1.407,0.187,"setosa"
88,4.911,3.096,1.503,0.188,"setosa"
88,5,3.2,1.21,0.201,"setosa"
88,5.478,3.501,1.292,0.205,"setosa"
88,4.896,3.611,1.397,0.111,"setosa"
88,4.396,2.99,1.289,0.191,"setosa"
88,5.095,3.396,1.504,0.189,"setosa"
88,5,3.474,1.305,0.3,"setosa"
88,4.487,2.299,1.296,0.309,"setosa"
88,4.397,3.217,1.307,0.191,"setosa"
88,4.999,3.512,1.589,0.598,"setosa"
88,5.11,3.784,1.907,0.392,"setosa"
88,4.822,3.006,1.406,0.297,"setosa"
88,5.096,3.799,1.6,0.2,"setosa"
88,4.596,3.201,1.392,0.212,"setosa"
88,5.307,3.721,1.505,0.212,"setosa"
88,4.986,3.293,1.376,0.198,"setosa"
88,6.999,3.201,4.708,1.39,"versicolor"
88,6.403,3.205,4.489,1.521,"versicolor"
88,6.898,3.112,4.892,1.486,"versicolor"
88,5.501,2.294,4.004,1.301,"versicolor"
88,6.492,2.785,4.592,1.518,"versicolor"
88,5.705,2.801,4.509,1.307,"versicolor"
88,6.322,3.281,4.709,1.582,"versicolor"
88,4.896,2.41,3.288,0.997,"versicolor"
88,6.596,2.897,4.614,1.298,"versicolor"
88,5.193,2.709,3.898,1.399,"versicolor"
88,4.991,1.999,3.503,1.004,"versicolor"
88,5.895,2.994,4.216,1.498,"versicolor"
88,6.002,2.2,3.985,0.991,"versicolor"
88,6.108,2.901,4.726,1.407,"versicolor"
88,5.592,2.903,3.591,1.304,"versicolor"
88,6.673,3.098,4.402,1.399,"versicolor"
88,5.575,3.006,4.509,1.492,"versicolor"
88,5.808,2.715,4.113,0.991,"versicolor"
88,6.195,2.187,4.485,1.498,"versicolor"
88,5.584,2.489,3.909,1.107,"versicolor"
88,5.898,3.194,4.805,1.79,"versicolor"
88,6.097,2.806,4.004,1.302,"versicolor"
88,6.317,2.504,4.89,1.497,"versicolor"
88,6.101,2.794,4.701,1.196,"versicolor"
88,6.4,2.899,4.297,1.273,"versicolor"
88,6.599,2.995,4.406,1.402,"versicolor"
88,6.806,2.807,4.809,1.419,"versicolor"
88,6.704,3.002,5.012,1.715,"versicolor"
88,5.997,2.917,4.518,1.5,"versicolor"
88,5.69,2.58,3.512,1.002,"versicolor"
88,5.489,2.409,3.782,1.099,"versicolor"
88,5.509,2.402,3.72,0.993,"versicolor"
88,5.797,2.701,3.878,1.206,"versicolor"
88,6,2.711,5.088,1.6,"versicolor"
88,5.378,3.007,4.493,1.506,"versicolor"
88,5.999,3.388,4.509,1.59,"versicolor"
88,6.71,3.104,4.701,1.504,"versicolor"
88,6.301,2.298,4.399,1.314,"versicolor"
88,5.606,2.995,4.107,1.3,"versicolor"
88,5.504,2.512,3.998,1.301,"versicolor"
88,5.498,2.607,4.386,1.212,"versicolor"
88,6.095,3.015,4.6,1.406,"versicolor"
88,5.796,2.585,4.006,1.205,"versicolor"
88,5.002,2.295,3.305,1.005,"versicolor"
88,5.594,2.679,4.194,1.275,"versicolor"
88,5.696,3.009,4.191,1.206,"versicolor"
88,5.703,2.897,4.184,1.304,"versicolor"
88,6.196,2.903,4.292,1.278,"versicolor"
88,5.09,2.497,2.984,1.108,"versicolor"
88,5.7,2.807,4.109,1.286,"versicolor"
88,6.311,3.302,5.99,2.499,"virginica"
88,5.776,2.702,5.096,1.9,"virginica"
88,7.117,2.997,5.908,2.1,"virginica"
88,6.302,2.9,5.607,1.81,"virginica"
88,6.509,2.988,5.788,2.23,"virginica"
88,7.59,2.985,6.599,2.094,"virginica"
88,4.902,2.491,4.497,1.708,"virginica"
88,7.303,2.898,6.297,1.8,"virginica"
88,6.684,2.51,5.794,1.824,"virginica"
88,7.219,3.6,6.098,2.499,"virginica"
88,6.505,3.2,5.102,2.005,"virginica"
88,6.408,2.687,5.287,1.897,"virginica"
88,6.782,3.007,5.486,2.113,"virginica"
88,5.686,2.536,5.004,2.011,"virginica"
88,5.815,2.788,5.095,2.388,"virginica"
88,6.407,3.192,5.302,2.286,"virginica"
88,6.498,2.997,5.486,1.791,"virginica"
88,7.683,3.794,6.699,2.181,"virginica"
88,7.698,2.605,6.896,2.284,"virginica"
88,6.013,2.206,4.995,1.488,"virginica"
88,6.891,3.213,5.707,2.319,"virginica"
88,5.611,2.799,4.905,1.992,"virginica"
88,7.685,2.808,6.718,2.003,"virginica"
88,6.302,2.698,4.899,1.804,"virginica"
88,6.702,3.303,5.716,2.106,"virginica"
88,7.205,3.211,6.005,1.791,"virginica"
88,6.2,2.801,4.805,1.817,"virginica"
88,6.127,3.01,4.903,1.785,"virginica"
88,6.4,2.792,5.606,2.092,"virginica"
88,7.192,2.989,5.811,1.609,"virginica"
88,7.423,2.805,6.108,1.891,"virginica"
88,7.903,3.808,6.404,1.987,"virginica"
88,6.395,2.797,5.61,2.19,"virginica"
88,6.3,2.811,5.093,1.489,"virginica"
88,6.101,2.627,5.604,1.391,"virginica"
88,7.676,2.996,6.112,2.307,"virginica"
88,6.3,3.404,5.607,2.428,"virginica"
88,6.386,3.11,5.504,1.808,"virginica"
88,6.009,2.998,4.804,1.793,"virginica"
88,6.902,3.108,5.397,2.118,"virginica"
88,6.714,3.085,5.604,2.379,"virginica"
88,6.907,3.095,5.11,2.293,"virginica"
88,5.828,2.683,5.109,1.88,"virginica"
88,6.811,3.201,5.903,2.313,"virginica"
88,6.701,3.313,5.695,2.489,"virginica"
88,6.695,3.016,5.2,2.325,"virginica"
88,6.294,2.494,4.996,1.911,"virginica"
88,6.509,2.995,5.19,2.006,"virginica"
88,6.182,3.407,5.367,2.294,"virginica"
88,5.888,3.003,5.085,1.771,"virginica"
