"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
81,5.108,3.508,1.395,0.206,"setosa"
81,4.914,2.994,1.381,0.21,"setosa"
81,4.706,3.206,1.306,0.201,"setosa"
81,4.603,3.108,1.489,0.203,"setosa"
81,4.998,3.603,1.386,0.192,"setosa"
81,5.38,3.894,1.704,0.398,"setosa"
81,4.599,3.4,1.404,0.296,"setosa"
81,4.99,3.383,1.499,0.205,"setosa"
81,4.391,2.9,1.409,0.189,"setosa"
81,4.915,3.117,1.508,0.109,"setosa"
81,5.395,3.695,1.502,0.201,"setosa"
81,4.806,3.404,1.598,0.202,"setosa"
81,4.815,2.978,1.403,0.082,"setosa"
81,4.284,3.013,1.089,0.089,"setosa"
81,5.789,4.002,1.188,0.195,"setosa"
81,5.694,4.406,1.495,0.392,"setosa"
81,5.407,3.907,1.315,0.385,"setosa"
81,5.09,3.515,1.395,0.301,"setosa"
81,5.698,3.807,1.692,0.296,"setosa"
81,5.107,3.798,1.49,0.31,"setosa"
81,5.401,3.415,1.693,0.19,"setosa"
81,5.099,3.701,1.495,0.411,"setosa"
81,4.608,3.599,1.005,0.191,"setosa"
81,5.117,3.292,1.687,0.506,"setosa"
81,4.789,3.392,1.878,0.187,"setosa"
81,4.996,3.007,1.604,0.214,"setosa"
81,4.987,3.415,1.605,0.401,"setosa"
81,5.207,3.505,1.51,0.202,"setosa"
81,5.204,3.401,1.387,0.198,"setosa"
81,4.693,3.21,1.6,0.212,"setosa"
81,4.792,3.094,1.594,0.189,"setosa"
81,5.397,3.38,1.493,0.399,"setosa"
81,5.204,4.115,1.499,0.105,"setosa"
81,5.492,4.196,1.401,0.208,"setosa"
81,4.914,3.11,1.497,0.192,"setosa"
81,5.013,3.203,1.192,0.206,"setosa"
81,5.507,3.501,1.309,0.194,"setosa"
81,4.882,3.597,1.393,0.11,"setosa"
81,4.411,3.002,1.297,0.201,"setosa"
81,5.116,3.412,1.523,0.201,"setosa"
81,4.989,3.498,1.294,0.295,"setosa"
81,4.479,2.3,1.293,0.299,"setosa"
81,4.407,3.193,1.291,0.184,"setosa"
81,4.982,3.496,1.598,0.618,"setosa"
81,5.112,3.798,1.914,0.406,"setosa"
81,4.777,3.003,1.402,0.312,"setosa"
81,5.116,3.814,1.596,0.206,"setosa"
81,4.593,3.187,1.4,0.206,"setosa"
81,5.303,3.695,1.526,0.198,"setosa"
81,5.009,3.298,1.398,0.218,"setosa"
81,7.02,3.205,4.691,1.387,"versicolor"
81,6.414,3.189,4.5,1.489,"versicolor"
81,6.903,3.095,4.905,1.484,"versicolor"
81,5.504,2.304,4.007,1.307,"versicolor"
81,6.494,2.799,4.614,1.514,"versicolor"
81,5.703,2.79,4.51,1.286,"versicolor"
81,6.3,3.308,4.692,1.596,"versicolor"
81,4.915,2.416,3.308,0.991,"versicolor"
81,6.596,2.917,4.598,1.298,"versicolor"
81,5.189,2.698,3.9,1.4,"versicolor"
81,4.997,2,3.507,0.995,"versicolor"
81,5.9,2.983,4.198,1.498,"versicolor"
81,6.011,2.183,4.006,1.017,"versicolor"
81,6.089,2.907,4.692,1.395,"versicolor"
81,5.61,2.885,3.585,1.32,"versicolor"
81,6.699,3.112,4.407,1.408,"versicolor"
81,5.609,3.001,4.477,1.509,"versicolor"
81,5.805,2.693,4.101,1.005,"versicolor"
81,6.203,2.18,4.524,1.518,"versicolor"
81,5.596,2.491,3.902,1.128,"versicolor"
81,5.893,3.201,4.796,1.805,"versicolor"
81,6.103,2.807,3.984,1.309,"versicolor"
81,6.302,2.503,4.903,1.496,"versicolor"
81,6.092,2.793,4.682,1.2,"versicolor"
81,6.406,2.919,4.312,1.3,"versicolor"
81,6.602,3.021,4.41,1.404,"versicolor"
