"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
74,5.094,3.505,1.401,0.188,"setosa"
74,4.899,2.989,1.403,0.191,"setosa"
74,4.692,3.207,1.317,0.196,"setosa"
74,4.59,3.106,1.503,0.203,"setosa"
74,5.008,3.595,1.384,0.183,"setosa"
74,5.398,3.893,1.692,0.398,"setosa"
74,4.591,3.386,1.398,0.306,"setosa"
74,5.005,3.405,1.5,0.202,"setosa"
74,4.408,2.896,1.403,0.2,"setosa"
74,4.908,3.114,1.505,0.091,"setosa"
74,5.422,3.702,1.515,0.203,"setosa"
74,4.822,3.395,1.597,0.182,"setosa"
74,4.804,3.018,1.396,0.111,"setosa"
74,4.303,3,1.105,0.074,"setosa"
74,5.811,3.99,1.191,0.206,"setosa"
74,5.711,4.395,1.499,0.409,"setosa"
74,5.415,3.897,1.294,0.415,"setosa"
74,5.093,3.505,1.4,0.293,"setosa"
74,5.678,3.793,1.693,0.307,"setosa"
74,5.101,3.801,1.493,0.305,"setosa"
74,5.395,3.391,1.686,0.192,"setosa"
74,5.091,3.695,1.494,0.428,"setosa"
74,4.597,3.605,1.01,0.203,"setosa"
74,5.104,3.294,1.703,0.51,"setosa"
74,4.792,3.404,1.911,0.212,"setosa"
74,4.998,3.003,1.569,0.203,"setosa"
74,5.008,3.386,1.592,0.388,"setosa"
74,5.187,3.494,1.492,0.203,"setosa"
74,5.222,3.404,1.417,0.212,"setosa"
74,4.693,3.205,1.61,0.211,"setosa"
74,4.81,3.104,1.596,0.206,"setosa"
74,5.409,3.394,1.492,0.401,"setosa"
74,5.198,4.107,1.509,0.092,"setosa"
74,5.518,4.198,1.4,0.199,"setosa"
74,4.909,3.107,1.488,0.189,"setosa"
74,5.013,3.204,1.182,0.189,"setosa"
74,5.505,3.498,1.284,0.209,"setosa"
74,4.909,3.61,1.387,0.115,"setosa"
74,4.406,3.009,1.308,0.194,"setosa"
74,5.099,3.4,1.501,0.207,"setosa"
74,5.001,3.499,1.318,0.294,"setosa"
74,4.503,2.312,1.309,0.297,"setosa"
74,4.402,3.212,1.304,0.194,"setosa"
74,5.001,3.482,1.604,0.601,"setosa"
74,5.111,3.805,1.9,0.392,"setosa"
74,4.816,3.015,1.395,0.298,"setosa"
74,5.099,3.795,1.599,0.202,"setosa"
74,4.595,3.194,1.415,0.2,"setosa"
74,5.321,3.706,1.504,0.198,"setosa"
74,5.004,3.3,1.412,0.208,"setosa"
74,7.006,3.2,4.697,1.393,"versicolor"
74,6.389,3.187,4.501,1.515,"versicolor"
74,6.901,3.113,4.916,1.501,"versicolor"
74,5.492,2.315,4.002,1.294,"versicolor"
74,6.493,2.799,4.621,1.494,"versicolor"
74,5.69,2.792,4.494,1.295,"versicolor"
74,6.299,3.302,4.691,1.611,"versicolor"
74,4.898,2.422,3.297,1.002,"versicolor"
74,6.614,2.893,4.596,1.29,"versicolor"
74,5.203,2.703,3.907,1.384,"versicolor"
74,4.994,1.993,3.504,1.007,"versicolor"
74,5.903,3.001,4.199,1.501,"versicolor"
74,5.995,2.212,4.009,0.991,"versicolor"
74,6.088,2.91,4.71,1.398,"versicolor"
74,5.58,2.899,3.602,1.308,"versicolor"
74,6.719,3.099,4.409,1.379,"versicolor"
74,5.599,2.997,4.496,1.49,"versicolor"
74,5.817,2.704,4.075,0.997,"versicolor"
74,6.203,2.186,4.503,1.503,"versicolor"
74,5.607,2.487,3.9,1.11,"versicolor"
74,5.91,3.199,4.79,1.809,"versicolor"
74,6.102,2.807,4.021,1.315,"versicolor"
74,6.3,2.513,4.892,1.501,"versicolor"
74,6.096,2.812,4.706,1.202,"versicolor"
74,6.417,2.909,4.296,1.302,"versicolor"
74,6.615,3.003,4.394,1.391,"versicolor"
74,6.788,2.796,4.793,1.402,"versicolor"
74,6.715,3.004,5.011,1.695,"versicolor"
74,6.001,2.908,4.502,1.501,"versicolor"
74,5.69,2.593,3.52,0.998,"versicolor"
74,5.503,2.418,3.814,1.098,"versicolor"
74,5.501,2.4,3.705,0.992,"versicolor"
74,5.805,2.708,3.908,1.2,"versicolor"
74,5.997,2.69,5.104,1.579,"versicolor"
74,5.409,3.002,4.476,1.492,"versicolor"
74,6.005,3.414,4.511,1.607,"versicolor"
74,6.693,3.111,4.702,1.527,"versicolor"
74,6.303,2.305,4.39,1.301,"versicolor"
74,5.605,2.999,4.107,1.309,"versicolor"
74,5.495,2.516,3.985,1.31,"versicolor"
74,5.487,2.59,4.405,1.196,"versicolor"
74,6.11,3.001,4.598,1.397,"versicolor"
74,5.808,2.598,3.991,1.211,"versicolor"
74,5.01,2.289,3.304,1.001,"versicolor"
74,5.584,2.691,4.19,1.304,"versicolor"
74,5.712,2.996,4.196,1.207,"versicolor"
74,5.679,2.906,4.199,1.296,"versicolor"
74,6.194,2.904,4.313,1.304,"versicolor"
74,5.079,2.504,3.014,1.098,"versicolor"
74,5.685,2.799,4.081,1.304,"versicolor"
74,6.284,3.315,6.002,2.496,"virginica"
74,5.819,2.694,5.092,1.904,"virginica"
74,7.087,3.009,5.908,2.084,"virginica"
74,6.307,2.91,5.605,1.796,"virginica"
74,6.51,3.003,5.813,2.23,"virginica"
74,7.602,2.988,6.594,2.096,"virginica"
74,4.898,2.503,4.517,1.71,"virginica"
74,7.308,2.91,6.296,1.808,"virginica"
74,6.704,2.473,5.796,1.804,"virginica"
74,7.205,3.6,6.114,2.503,"virginica"
74,6.519,3.207,5.114,1.987,"virginica"
74,6.408,2.704,5.292,1.906,"virginica"
74,6.803,3.005,5.493,2.093,"virginica"
74,5.694,2.503,4.998,2.001,"virginica"
74,5.802,2.813,5.099,2.398,"virginica"
74,6.397,3.209,5.303,2.297,"virginica"
74,6.506,2.991,5.508,1.814,"virginica"
74,7.712,3.791,6.682,2.217,"virginica"
74,7.699,2.59,6.905,2.303,"virginica"
74,5.998,2.206,5.011,1.513,"virginica"
74,6.893,3.194,5.705,2.296,"virginica"
74,5.591,2.79,4.89,1.996,"virginica"
74,7.694,2.813,6.72,2.017,"virginica"
74,6.295,2.716,4.895,1.801,"virginica"
74,6.709,3.311,5.707,2.095,"virginica"
74,7.191,3.199,5.998,1.803,"virginica"
74,6.195,2.782,4.811,1.785,"virginica"
74,6.103,2.989,4.911,1.793,"virginica"
74,6.4,2.793,5.624,2.096,"virginica"
74,7.207,2.989,5.815,1.61,"virginica"
74,7.398,2.8,6.104,1.9,"virginica"
74,7.907,3.785,6.4,1.986,"virginica"
74,6.395,2.799,5.596,2.212,"virginica"
74,6.29,2.79,5.109,1.499,"virginica"
74,6.088,2.614,5.601,1.402,"virginica"
74,7.702,3.001,6.098,2.299,"virginica"
74,6.313,3.408,5.602,2.397,"virginica"
74,6.409,3.124,5.505,1.816,"virginica"
74,6.016,2.994,4.824,1.792,"virginica"
74,6.904,3.105,5.393,2.087,"virginica"
74,6.705,3.091,5.591,2.398,"virginica"
74,6.902,3.107,5.095,2.3,"virginica"
74,5.813,2.706,5.114,1.893,"virginica"
74,6.789,3.199,5.906,2.299,"virginica"
74,6.691,3.308,5.696,2.488,"virginica"
74,6.707,2.998,5.188,2.284,"virginica"
74,6.3,2.511,4.998,1.88,"virginica"
74,6.494,3.002,5.198,1.981,"virginica"
74,6.216,3.388,5.416,2.287,"virginica"
74,5.904,2.998,5.091,1.797,"virginica"
