"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
25,5.092,3.52,1.391,0.196,"setosa"
25,4.899,3.001,1.416,0.177,"setosa"
25,4.687,3.212,1.301,0.216,"setosa"
25,4.593,3.113,1.493,0.202,"setosa"
25,5.004,3.589,1.41,0.204,"setosa"
25,5.408,3.903,1.691,0.38,"setosa"
25,4.601,3.402,1.406,0.289,"setosa"
25,4.995,3.405,1.504,0.188,"setosa"
25,4.404,2.881,1.411,0.201,"setosa"
25,4.904,3.091,1.519,0.083,"setosa"
25,5.392,3.689,1.507,0.182,"setosa"
25,4.794,3.389,1.604,0.216,"setosa"
25,4.807,2.993,1.399,0.105,"setosa"
25,4.288,2.987,1.105,0.099,"setosa"
25,5.787,3.999,1.199,0.197,"setosa"
25,5.682,4.406,1.492,0.425,"setosa"
25,5.375,3.909,1.307,0.396,"setosa"
25,5.101,3.502,1.394,0.308,"setosa"
25,5.691,3.812,1.696,0.309,"setosa"
25,5.122,3.795,1.508,0.32,"setosa"
25,5.409,3.409,1.71,0.2,"setosa"
25,5.114,3.709,1.491,0.415,"setosa"
25,4.597,3.617,0.995,0.205,"setosa"
25,5.1,3.307,1.704,0.496,"setosa"
25,4.794,3.397,1.9,0.189,"setosa"
25,4.998,2.999,1.582,0.188,"setosa"
25,5,3.397,1.608,0.427,"setosa"
25,5.198,3.507,1.499,0.196,"setosa"
25,5.19,3.405,1.402,0.216,"setosa"
25,4.691,3.199,1.607,0.194,"setosa"
25,4.806,3.112,1.606,0.211,"setosa"
25,5.387,3.394,1.492,0.411,"setosa"
25,5.204,4.096,1.494,0.096,"setosa"
25,5.493,4.203,1.395,0.183,"setosa"
25,4.903,3.109,1.501,0.211,"setosa"
25,5.003,3.19,1.198,0.209,"setosa"
25,5.481,3.503,1.307,0.192,"setosa"
25,4.905,3.577,1.392,0.107,"setosa"
25,4.395,3.007,1.32,0.182,"setosa"
25,5.107,3.407,1.49,0.19,"setosa"
25,5.001,3.518,1.292,0.308,"setosa"
25,4.501,2.294,1.302,0.293,"setosa"
25,4.388,3.193,1.294,0.181,"setosa"
25,5.011,3.511,1.604,0.593,"setosa"
25,5.103,3.794,1.903,0.401,"setosa"
25,4.793,2.988,1.417,0.292,"setosa"
25,5.094,3.79,1.596,0.194,"setosa"
25,4.605,3.199,1.401,0.204,"setosa"
25,5.32,3.702,1.495,0.216,"setosa"
25,5.012,3.301,1.407,0.192,"setosa"
25,7,3.19,4.692,1.41,"versicolor"
25,6.385,3.197,4.514,1.501,"versicolor"
25,6.909,3.119,4.914,1.507,"versicolor"
25,5.498,2.294,4.005,1.295,"versicolor"
25,6.51,2.79,4.598,1.489,"versicolor"
25,5.693,2.784,4.492,1.29,"versicolor"
25,6.302,3.291,4.684,1.599,"versicolor"
25,4.906,2.393,3.313,0.991,"versicolor"
25,6.611,2.899,4.593,1.297,"versicolor"
25,5.19,2.713,3.907,1.389,"versicolor"
25,4.994,1.999,3.501,0.986,"versicolor"
25,5.898,2.979,4.218,1.511,"versicolor"
25,6,2.199,4.017,0.991,"versicolor"
25,6.099,2.894,4.707,1.394,"versicolor"
25,5.592,2.906,3.603,1.288,"versicolor"
25,6.698,3.087,4.388,1.392,"versicolor"
25,5.583,2.994,4.506,1.509,"versicolor"
25,5.79,2.695,4.107,0.986,"versicolor"
25,6.203,2.216,4.513,1.499,"versicolor"
25,5.606,2.499,3.91,1.1,"versicolor"
25,5.906,3.208,4.81,1.802,"versicolor"
25,6.099,2.779,4.005,1.306,"versicolor"
25,6.296,2.509,4.916,1.498,"versicolor"
25,6.093,2.814,4.713,1.2,"versicolor"
25,6.389,2.913,4.304,1.302,"versicolor"
25,6.606,3.011,4.39,1.394,"versicolor"
25,6.806,2.783,4.807,1.409,"versicolor"
25,6.678,3,4.999,1.702,"versicolor"
25,6.018,2.909,4.501,1.507,"versicolor"
25,5.699,2.604,3.488,1,"versicolor"
25,5.499,2.401,3.784,1.088,"versicolor"
25,5.52,2.393,3.679,1,"versicolor"
25,5.793,2.706,3.909,1.193,"versicolor"
25,6.016,2.711,5.095,1.605,"versicolor"
25,5.393,2.983,4.516,1.505,"versicolor"
25,6.007,3.408,4.514,1.596,"versicolor"
25,6.705,3.108,4.691,1.501,"versicolor"
25,6.279,2.291,4.412,1.304,"versicolor"
25,5.585,3.009,4.082,1.286,"versicolor"
25,5.51,2.503,3.987,1.298,"versicolor"
25,5.491,2.601,4.383,1.195,"versicolor"
25,6.104,2.993,4.607,1.422,"versicolor"
25,5.808,2.602,3.998,1.187,"versicolor"
25,4.995,2.308,3.31,1.007,"versicolor"
25,5.602,2.697,4.205,1.301,"versicolor"
25,5.695,2.978,4.199,1.178,"versicolor"
25,5.698,2.88,4.183,1.283,"versicolor"
25,6.19,2.914,4.293,1.287,"versicolor"
25,5.091,2.48,2.997,1.123,"versicolor"
25,5.697,2.793,4.099,1.287,"versicolor"
25,6.301,3.295,6.008,2.497,"virginica"
25,5.795,2.69,5.079,1.9,"virginica"
25,7.1,3.003,5.877,2.099,"virginica"
25,6.31,2.897,5.613,1.79,"virginica"
25,6.496,3.003,5.805,2.172,"virginica"
25,7.615,3.012,6.606,2.109,"virginica"
25,4.898,2.501,4.495,1.703,"virginica"
25,7.285,2.909,6.29,1.796,"virginica"
25,6.718,2.494,5.803,1.806,"virginica"
25,7.187,3.591,6.091,2.489,"virginica"
25,6.495,3.199,5.105,2.013,"virginica"
25,6.398,2.68,5.317,1.894,"virginica"
25,6.8,3.014,5.486,2.102,"virginica"
25,5.7,2.506,5.003,2.009,"virginica"
25,5.814,2.804,5.105,2.405,"virginica"
25,6.413,3.215,5.288,2.296,"virginica"
25,6.499,2.99,5.502,1.803,"virginica"
25,7.7,3.814,6.719,2.219,"virginica"
25,7.699,2.593,6.902,2.3,"virginica"
25,6.002,2.208,5.016,1.488,"virginica"
25,6.91,3.186,5.713,2.304,"virginica"
25,5.607,2.791,4.894,2.014,"virginica"
25,7.702,2.808,6.703,2.004,"virginica"
25,6.307,2.677,4.893,1.795,"virginica"
25,6.701,3.315,5.699,2.093,"virginica"
25,7.185,3.207,5.995,1.797,"virginica"
25,6.204,2.791,4.801,1.786,"virginica"
25,6.086,3.009,4.902,1.782,"virginica"
25,6.402,2.807,5.599,2.092,"virginica"
25,7.191,2.99,5.814,1.605,"virginica"
25,7.41,2.795,6.11,1.898,"virginica"
25,7.891,3.804,6.398,1.987,"virginica"
25,6.408,2.803,5.574,2.206,"virginica"
25,6.312,2.782,5.105,1.491,"virginica"
25,6.093,2.595,5.608,1.402,"virginica"
25,7.694,3.01,6.095,2.293,"virginica"
25,6.284,3.403,5.575,2.398,"virginica"
25,6.408,3.101,5.503,1.797,"virginica"
25,6.002,2.999,4.787,1.79,"virginica"
25,6.905,3.102,5.388,2.102,"virginica"
25,6.694,3.112,5.603,2.406,"virginica"
25,6.891,3.096,5.095,2.309,"virginica"
25,5.783,2.708,5.111,1.907,"virginica"
25,6.813,3.198,5.89,2.314,"virginica"
25,6.711,3.314,5.686,2.521,"virginica"
25,6.709,3.006,5.233,2.281,"virginica"
25,6.298,2.506,4.991,1.906,"virginica"
25,6.498,3.013,5.195,1.982,"virginica"
25,6.201,3.418,5.394,2.299,"virginica"
25,5.884,3.02,5.103,1.79,"virginica"
