"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
3,5.101,3.489,1.392,0.192,"setosa"
3,4.909,3.003,1.41,0.194,"setosa"
3,4.702,3.201,1.298,0.192,"setosa"
3,4.594,3.103,1.496,0.202,"setosa"
3,5.003,3.602,1.393,0.187,"setosa"
3,5.419,3.903,1.708,0.388,"setosa"
3,4.608,3.415,1.38,0.311,"setosa"
3,5.006,3.397,1.499,0.209,"setosa"
3,4.399,2.901,1.396,0.191,"setosa"
3,4.906,3.092,1.522,0.099,"setosa"
3,5.408,3.716,1.5,0.2,"setosa"
3,4.804,3.389,1.584,0.21,"setosa"
3,4.795,3.006,1.387,0.088,"setosa"
3,4.294,3.007,1.101,0.09,"setosa"
3,5.81,3.985,1.188,0.205,"setosa"
3,5.702,4.382,1.495,0.403,"setosa"
3,5.403,3.902,1.297,0.408,"setosa"
3,5.108,3.485,1.412,0.287,"setosa"
3,5.706,3.812,1.698,0.283,"setosa"
3,5.096,3.797,1.497,0.286,"setosa"
3,5.4,3.41,1.7,0.185,"setosa"
3,5.089,3.711,1.499,0.41,"setosa"
3,4.6,3.605,1.006,0.196,"setosa"
3,5.094,3.306,1.709,0.5,"setosa"
3,4.779,3.379,1.902,0.206,"setosa"
3,4.988,2.978,1.622,0.22,"setosa"
3,5.013,3.396,1.604,0.412,"setosa"
3,5.198,3.486,1.507,0.191,"setosa"
3,5.202,3.396,1.424,0.194,"setosa"
3,4.688,3.218,1.596,0.211,"setosa"
3,4.797,3.107,1.604,0.218,"setosa"
3,5.396,3.402,1.507,0.396,"setosa"
3,5.216,4.114,1.5,0.108,"setosa"
3,5.506,4.19,1.4,0.208,"setosa"
3,4.905,3.109,1.503,0.179,"setosa"
3,4.989,3.208,1.211,0.19,"setosa"
3,5.522,3.502,1.293,0.207,"setosa"
3,4.901,3.594,1.384,0.114,"setosa"
3,4.401,2.988,1.288,0.186,"setosa"
3,5.101,3.418,1.497,0.201,"setosa"
3,4.992,3.503,1.3,0.287,"setosa"
3,4.497,2.294,1.297,0.304,"setosa"
3,4.405,3.197,1.294,0.204,"setosa"
3,5.005,3.496,1.594,0.604,"setosa"
3,5.111,3.808,1.889,0.395,"setosa"
3,4.789,2.999,1.415,0.284,"setosa"
3,5.103,3.793,1.609,0.197,"setosa"
3,4.596,3.188,1.391,0.202,"setosa"
3,5.288,3.69,1.508,0.204,"setosa"
3,5.018,3.291,1.394,0.196,"setosa"
3,6.982,3.206,4.695,1.41,"versicolor"
3,6.403,3.209,4.496,1.495,"versicolor"
3,6.883,3.103,4.891,1.5,"versicolor"
3,5.508,2.326,3.986,1.295,"versicolor"
3,6.497,2.807,4.603,1.499,"versicolor"
3,5.702,2.799,4.513,1.301,"versicolor"
3,6.292,3.32,4.699,1.592,"versicolor"
3,4.902,2.401,3.299,0.983,"versicolor"
3,6.599,2.897,4.597,1.31,"versicolor"
3,5.189,2.699,3.917,1.412,"versicolor"
3,5.01,1.999,3.498,0.981,"versicolor"
3,5.899,2.988,4.195,1.491,"versicolor"
3,6.009,2.198,4.008,0.998,"versicolor"
3,6.113,2.905,4.688,1.412,"versicolor"
3,5.593,2.897,3.594,1.307,"versicolor"
3,6.702,3.098,4.397,1.384,"versicolor"
3,5.593,3.009,4.508,1.496,"versicolor"
3,5.815,2.704,4.115,1.012,"versicolor"
3,6.191,2.216,4.513,1.487,"versicolor"
3,5.587,2.489,3.91,1.111,"versicolor"
3,5.921,3.2,4.797,1.805,"versicolor"
3,6.09,2.805,4.006,1.294,"versicolor"
3,6.306,2.513,4.903,1.518,"versicolor"
3,6.104,2.802,4.697,1.211,"versicolor"
3,6.397,2.896,4.297,1.289,"versicolor"
3,6.598,2.992,4.382,1.409,"versicolor"
3,6.802,2.818,4.805,1.384,"versicolor"
3,6.694,2.988,4.989,1.696,"versicolor"
3,6,2.906,4.497,1.507,"versicolor"
3,5.682,2.593,3.503,1.002,"versicolor"
3,5.503,2.409,3.798,1.087,"versicolor"
3,5.487,2.39,3.699,0.999,"versicolor"
3,5.793,2.709,3.9,1.202,"versicolor"
3,6.004,2.702,5.108,1.598,"versicolor"
3,5.383,2.987,4.509,1.493,"versicolor"
3,6.007,3.401,4.496,1.604,"versicolor"
3,6.685,3.109,4.699,1.507,"versicolor"
3,6.304,2.31,4.392,1.305,"versicolor"
3,5.603,2.99,4.107,1.301,"versicolor"
3,5.496,2.472,4.002,1.292,"versicolor"
3,5.516,2.604,4.409,1.196,"versicolor"
3,6.104,3,4.585,1.392,"versicolor"
3,5.799,2.589,4.01,1.189,"versicolor"
3,5,2.294,3.299,1.008,"versicolor"
3,5.595,2.705,4.198,1.302,"versicolor"
3,5.702,3.002,4.198,1.184,"versicolor"
3,5.694,2.9,4.186,1.279,"versicolor"
3,6.202,2.894,4.299,1.291,"versicolor"
3,5.111,2.48,3.008,1.097,"versicolor"
3,5.696,2.808,4.103,1.306,"versicolor"
3,6.306,3.299,6.012,2.49,"virginica"
3,5.811,2.707,5.094,1.904,"virginica"
3,7.085,2.989,5.898,2.084,"virginica"
3,6.311,2.876,5.599,1.8,"virginica"
3,6.491,3.001,5.8,2.193,"virginica"
3,7.605,2.996,6.609,2.114,"virginica"
3,4.911,2.502,4.504,1.701,"virginica"
3,7.284,2.909,6.298,1.809,"virginica"
3,6.698,2.492,5.816,1.804,"virginica"
3,7.217,3.613,6.104,2.497,"virginica"
3,6.529,3.211,5.097,1.966,"virginica"
3,6.398,2.696,5.29,1.914,"virginica"
3,6.815,3.004,5.509,2.107,"virginica"
3,5.705,2.502,4.986,2.019,"virginica"
3,5.805,2.803,5.097,2.391,"virginica"
3,6.403,3.192,5.3,2.287,"virginica"
3,6.488,2.999,5.494,1.807,"virginica"
3,7.701,3.801,6.701,2.204,"virginica"
3,7.713,2.577,6.894,2.265,"virginica"
3,6.003,2.188,4.985,1.491,"virginica"
3,6.896,3.182,5.707,2.312,"virginica"
3,5.588,2.788,4.888,2.004,"virginica"
3,7.724,2.809,6.706,1.995,"virginica"
3,6.299,2.707,4.906,1.813,"virginica"
3,6.68,3.316,5.688,2.101,"virginica"
3,7.189,3.196,6.013,1.785,"virginica"
3,6.188,2.801,4.8,1.784,"virginica"
3,6.083,2.999,4.904,1.803,"virginica"
3,6.395,2.801,5.607,2.099,"virginica"
3,7.189,3.033,5.81,1.58,"virginica"
3,7.392,2.814,6.107,1.907,"virginica"
3,7.885,3.797,6.39,2,"virginica"
3,6.405,2.781,5.604,2.203,"virginica"
3,6.296,2.794,5.092,1.498,"virginica"
3,6.086,2.603,5.616,1.401,"virginica"
3,7.698,2.994,6.091,2.303,"virginica"
3,6.297,3.41,5.608,2.385,"virginica"
3,6.39,3.113,5.503,1.797,"virginica"
3,5.999,3.002,4.806,1.812,"virginica"
3,6.9,3.106,5.409,2.08,"virginica"
3,6.704,3.123,5.605,2.404,"virginica"
3,6.903,3.072,5.093,2.307,"virginica"
3,5.818,2.72,5.08,1.91,"virginica"
3,6.792,3.196,5.893,2.293,"virginica"
3,6.708,3.292,5.71,2.506,"virginica"
3,6.706,3,5.203,2.315,"virginica"
3,6.304,2.513,4.999,1.911,"virginica"
3,6.505,2.997,5.207,1.994,"virginica"
3,6.178,3.413,5.389,2.309,"virginica"
3,5.887,2.984,5.114,1.811,"virginica"
