"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
80,5.098,3.485,1.403,0.199,"setosa"
80,4.895,2.991,1.394,0.199,"setosa"
80,4.713,3.198,1.298,0.202,"setosa"
80,4.6,3.101,1.488,0.193,"setosa"
80,5.012,3.599,1.387,0.205,"setosa"
80,5.399,3.911,1.696,0.383,"setosa"
80,4.595,3.383,1.395,0.285,"setosa"
80,5.01,3.404,1.519,0.205,"setosa"
80,4.389,2.912,1.412,0.194,"setosa"
80,4.901,3.09,1.495,0.094,"setosa"
80,5.418,3.702,1.495,0.203,"setosa"
80,4.791,3.419,1.591,0.198,"setosa"
80,4.806,2.998,1.391,0.092,"setosa"
80,4.299,2.981,1.109,0.08,"setosa"
80,5.812,3.978,1.197,0.217,"setosa"
80,5.697,4.393,1.496,0.406,"setosa"
80,5.403,3.91,1.295,0.402,"setosa"
80,5.076,3.487,1.413,0.287,"setosa"
80,5.696,3.82,1.726,0.299,"setosa"
80,5.113,3.798,1.492,0.296,"setosa"
80,5.396,3.41,1.688,0.202,"setosa"
80,5.091,3.717,1.491,0.399,"setosa"
80,4.604,3.599,0.978,0.194,"setosa"
80,5.092,3.288,1.705,0.494,"setosa"
80,4.794,3.402,1.898,0.2,"setosa"
80,4.998,2.989,1.599,0.2,"setosa"
80,4.998,3.388,1.606,0.412,"setosa"
80,5.202,3.484,1.493,0.198,"setosa"
80,5.222,3.398,1.412,0.212,"setosa"
80,4.714,3.202,1.605,0.221,"setosa"
80,4.802,3.116,1.603,0.205,"setosa"
80,5.398,3.385,1.49,0.403,"setosa"
80,5.209,4.073,1.504,0.106,"setosa"
80,5.501,4.195,1.378,0.202,"setosa"
80,4.898,3.105,1.494,0.204,"setosa"
80,4.995,3.195,1.2,0.2,"setosa"
80,5.491,3.501,1.304,0.196,"setosa"
80,4.898,3.614,1.403,0.094,"setosa"
80,4.4,2.981,1.294,0.19,"setosa"
80,5.088,3.416,1.489,0.197,"setosa"
80,5.011,3.488,1.287,0.321,"setosa"
80,4.505,2.315,1.313,0.301,"setosa"
80,4.394,3.206,1.295,0.209,"setosa"
80,4.994,3.488,1.61,0.601,"setosa"
80,5.096,3.788,1.899,0.393,"setosa"
80,4.786,2.997,1.398,0.308,"setosa"
80,5.092,3.818,1.596,0.211,"setosa"
80,4.605,3.209,1.393,0.206,"setosa"
80,5.297,3.698,1.497,0.208,"setosa"
80,4.987,3.282,1.39,0.214,"setosa"
80,6.99,3.191,4.709,1.387,"versicolor"
80,6.391,3.193,4.492,1.508,"versicolor"
80,6.907,3.102,4.882,1.512,"versicolor"
80,5.512,2.304,3.98,1.305,"versicolor"
80,6.505,2.793,4.601,1.497,"versicolor"
80,5.691,2.801,4.479,1.299,"versicolor"
80,6.299,3.313,4.713,1.593,"versicolor"
80,4.897,2.399,3.304,1.018,"versicolor"
80,6.607,2.898,4.607,1.292,"versicolor"
80,5.205,2.688,3.905,1.396,"versicolor"
80,4.995,1.989,3.492,1.011,"versicolor"
80,5.897,3.003,4.219,1.496,"versicolor"
80,5.996,2.191,4.017,1.003,"versicolor"
80,6.099,2.881,4.704,1.412,"versicolor"
80,5.593,2.898,3.612,1.297,"versicolor"
80,6.701,3.104,4.376,1.416,"versicolor"
80,5.598,3.005,4.499,1.498,"versicolor"
80,5.796,2.706,4.101,0.981,"versicolor"
80,6.198,2.193,4.497,1.493,"versicolor"
80,5.598,2.506,3.901,1.104,"versicolor"
80,5.902,3.175,4.802,1.799,"versicolor"
80,6.099,2.787,4.019,1.311,"versicolor"
80,6.308,2.51,4.9,1.494,"versicolor"
80,6.092,2.804,4.697,1.208,"versicolor"
80,6.409,2.901,4.306,1.285,"versicolor"
80,6.582,2.999,4.4,1.413,"versicolor"
80,6.787,2.808,4.819,1.405,"versicolor"
80,6.709,2.993,4.996,1.696,"versicolor"
80,6.021,2.905,4.488,1.497,"versicolor"
80,5.686,2.599,3.511,1.006,"versicolor"
80,5.495,2.407,3.783,1.094,"versicolor"
80,5.492,2.397,3.705,1.012,"versicolor"
80,5.797,2.698,3.886,1.222,"versicolor"
80,5.997,2.682,5.099,1.597,"versicolor"
80,5.403,2.998,4.494,1.508,"versicolor"
80,6.022,3.383,4.493,1.622,"versicolor"
80,6.711,3.109,4.706,1.492,"versicolor"
80,6.306,2.301,4.376,1.296,"versicolor"
80,5.58,3.011,4.091,1.3,"versicolor"
80,5.494,2.497,3.996,1.316,"versicolor"
80,5.516,2.623,4.408,1.197,"versicolor"
80,6.091,2.999,4.594,1.418,"versicolor"
80,5.784,2.602,4,1.195,"versicolor"
80,4.995,2.307,3.293,0.987,"versicolor"
80,5.604,2.71,4.183,1.306,"versicolor"
80,5.696,2.989,4.204,1.204,"versicolor"
80,5.712,2.9,4.21,1.267,"versicolor"
80,6.206,2.899,4.305,1.294,"versicolor"
80,5.096,2.5,3.014,1.084,"versicolor"
80,5.716,2.794,4.096,1.308,"versicolor"
80,6.316,3.302,6.005,2.493,"virginica"
80,5.817,2.712,5.11,1.897,"virginica"
80,7.097,2.994,5.889,2.088,"virginica"
80,6.306,2.883,5.611,1.806,"virginica"
80,6.495,3,5.795,2.193,"virginica"
80,7.599,2.996,6.589,2.097,"virginica"
80,4.894,2.486,4.501,1.716,"virginica"
80,7.297,2.906,6.306,1.801,"virginica"
80,6.7,2.512,5.781,1.811,"virginica"
80,7.202,3.61,6.082,2.498,"virginica"
80,6.504,3.224,5.101,2.003,"virginica"
80,6.394,2.716,5.296,1.912,"virginica"
80,6.813,2.992,5.504,2.101,"virginica"
80,5.693,2.482,5.005,2.004,"virginica"
80,5.799,2.789,5.082,2.398,"virginica"
80,6.387,3.199,5.296,2.301,"virginica"
80,6.512,2.991,5.5,1.805,"virginica"
80,7.717,3.815,6.673,2.197,"virginica"
80,7.694,2.594,6.909,2.312,"virginica"
80,6.01,2.201,5.025,1.497,"virginica"
80,6.903,3.209,5.702,2.291,"virginica"
80,5.587,2.8,4.914,2.004,"virginica"
80,7.699,2.798,6.713,1.998,"virginica"
80,6.301,2.702,4.884,1.79,"virginica"
80,6.692,3.299,5.7,2.117,"virginica"
80,7.192,3.2,5.991,1.815,"virginica"
80,6.206,2.802,4.78,1.803,"virginica"
80,6.119,3.001,4.916,1.802,"virginica"
80,6.408,2.788,5.602,2.103,"virginica"
80,7.191,2.989,5.824,1.596,"virginica"
80,7.401,2.778,6.112,1.904,"virginica"
80,7.89,3.801,6.408,2.001,"virginica"
80,6.389,2.804,5.608,2.21,"virginica"
80,6.309,2.785,5.085,1.508,"virginica"
80,6.103,2.592,5.613,1.385,"virginica"
80,7.697,3.009,6.121,2.298,"virginica"
80,6.303,3.4,5.607,2.398,"virginica"
80,6.394,3.091,5.489,1.808,"virginica"
80,6,2.999,4.803,1.801,"virginica"
80,6.89,3.109,5.4,2.103,"virginica"
80,6.717,3.107,5.607,2.413,"virginica"
80,6.9,3.098,5.115,2.296,"virginica"
80,5.807,2.686,5.106,1.876,"virginica"
80,6.801,3.205,5.886,2.295,"virginica"
80,6.684,3.295,5.718,2.495,"virginica"
80,6.699,2.983,5.208,2.3,"virginica"
80,6.295,2.486,4.997,1.903,"virginica"
80,6.507,3.007,5.195,1.993,"virginica"
80,6.185,3.41,5.395,2.291,"virginica"
80,5.91,2.99,5.095,1.802,"virginica"
