"sample","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
58,5.083,3.496,1.396,0.205,"setosa"
58,4.88,3.008,1.385,0.209,"setosa"
58,4.714,3.197,1.319,0.192,"setosa"
58,4.611,3.108,1.488,0.203,"setosa"
58,5.012,3.605,1.412,0.2,"setosa"
58,5.412,3.901,1.71,0.394,"setosa"
58,4.587,3.411,1.405,0.317,"setosa"
58,5.009,3.394,1.493,0.18,"setosa"
58,4.397,2.891,1.384,0.208,"setosa"
58,4.896,3.112,1.49,0.104,"setosa"
58,5.402,3.682,1.496,0.206,"setosa"
58,4.803,3.409,1.597,0.185,"setosa"
58,4.808,3.009,1.407,0.083,"setosa"
58,4.285,3.011,1.098,0.119,"setosa"
58,5.793,3.993,1.203,0.213,"setosa"
58,5.693,4.409,1.5,0.402,"setosa"
58,5.398,3.904,1.291,0.403,"setosa"
58,5.105,3.492,1.406,0.3,"setosa"
58,5.707,3.815,1.701,0.316,"setosa"
58,5.101,3.793,1.508,0.317,"setosa"
58,5.386,3.397,1.698,0.206,"setosa"
58,5.068,3.687,1.505,0.393,"setosa"
58,4.589,3.611,0.982,0.184,"setosa"
58,5.09,3.301,1.694,0.497,"setosa"
58,4.807,3.406,1.878,0.209,"setosa"
58,5.005,3.018,1.587,0.184,"setosa"
58,4.994,3.4,1.603,0.403,"setosa"
58,5.187,3.512,1.507,0.195,"setosa"
58,5.201,3.398,1.412,0.203,"setosa"
58,4.708,3.191,1.6,0.214,"setosa"
58,4.795,3.107,1.598,0.201,"setosa"
58,5.389,3.413,1.482,0.388,"setosa"
58,5.215,4.1,1.507,0.093,"setosa"
58,5.498,4.209,1.407,0.21,"setosa"
58,4.895,3.106,1.513,0.216,"setosa"
58,4.996,3.208,1.188,0.194,"setosa"
58,5.51,3.526,1.292,0.195,"setosa"
58,4.907,3.597,1.405,0.11,"setosa"
58,4.387,3.006,1.304,0.194,"setosa"
58,5.088,3.397,1.498,0.214,"setosa"
58,4.993,3.501,1.286,0.303,"setosa"
58,4.506,2.283,1.316,0.303,"setosa"
58,4.4,3.196,1.312,0.184,"setosa"
58,4.995,3.51,1.617,0.609,"setosa"
58,5.09,3.791,1.903,0.386,"setosa"
58,4.803,3.001,1.397,0.303,"setosa"
58,5.106,3.799,1.604,0.204,"setosa"
58,4.607,3.183,1.401,0.201,"setosa"
58,5.313,3.713,1.502,0.181,"setosa"
58,5.003,3.287,1.401,0.204,"setosa"
58,7.002,3.206,4.714,1.399,"versicolor"
58,6.411,3.208,4.478,1.505,"versicolor"
58,6.896,3.095,4.909,1.504,"versicolor"
58,5.506,2.304,3.999,1.304,"versicolor"
58,6.505,2.808,4.61,1.485,"versicolor"
58,5.712,2.796,4.491,1.305,"versicolor"
58,6.298,3.292,4.712,1.602,"versicolor"
58,4.917,2.4,3.31,1.007,"versicolor"
58,6.605,2.906,4.606,1.303,"versicolor"
58,5.2,2.693,3.885,1.404,"versicolor"
58,5.002,1.991,3.507,0.997,"versicolor"
58,5.896,2.999,4.199,1.506,"versicolor"
58,5.989,2.207,4.021,0.996,"versicolor"
58,6.095,2.909,4.702,1.405,"versicolor"
58,5.594,2.899,3.591,1.302,"versicolor"
58,6.698,3.104,4.397,1.407,"versicolor"
58,5.597,3.005,4.498,1.502,"versicolor"
58,5.792,2.707,4.091,1.011,"versicolor"
58,6.192,2.186,4.501,1.5,"versicolor"
58,5.595,2.499,3.903,1.091,"versicolor"
58,5.903,3.186,4.802,1.792,"versicolor"
58,6.118,2.798,4.001,1.304,"versicolor"
58,6.302,2.494,4.874,1.49,"versicolor"
58,6.097,2.81,4.704,1.201,"versicolor"
58,6.396,2.902,4.301,1.294,"versicolor"
58,6.603,2.994,4.392,1.401,"versicolor"
58,6.803,2.802,4.8,1.396,"versicolor"
58,6.709,2.987,5.011,1.694,"versicolor"
58,5.999,2.896,4.496,1.494,"versicolor"
58,5.697,2.608,3.507,1.011,"versicolor"
58,5.494,2.388,3.803,1.115,"versicolor"
58,5.496,2.406,3.692,1.007,"versicolor"
58,5.815,2.695,3.898,1.204,"versicolor"
58,6.026,2.694,5.093,1.607,"versicolor"
58,5.4,3.028,4.501,1.488,"versicolor"
58,6.01,3.389,4.498,1.588,"versicolor"
58,6.679,3.105,4.704,1.518,"versicolor"
58,6.299,2.291,4.402,1.298,"versicolor"
58,5.602,3.002,4.108,1.294,"versicolor"
58,5.495,2.493,3.987,1.287,"versicolor"
58,5.508,2.619,4.408,1.215,"versicolor"
58,6.093,2.985,4.58,1.394,"versicolor"
58,5.798,2.59,4.005,1.203,"versicolor"
58,5.002,2.305,3.309,1.007,"versicolor"
58,5.603,2.703,4.206,1.297,"versicolor"
58,5.689,3.007,4.205,1.196,"versicolor"
58,5.693,2.916,4.198,1.326,"versicolor"
58,6.2,2.892,4.291,1.287,"versicolor"
58,5.093,2.48,3.013,1.101,"versicolor"
58,5.702,2.799,4.104,1.288,"versicolor"
58,6.304,3.302,6,2.501,"virginica"
58,5.794,2.69,5.105,1.901,"virginica"
58,7.106,2.993,5.885,2.101,"virginica"
58,6.296,2.906,5.619,1.802,"virginica"
58,6.491,2.989,5.795,2.203,"virginica"
58,7.611,2.991,6.594,2.102,"virginica"
58,4.893,2.486,4.496,1.686,"virginica"
58,7.311,2.899,6.318,1.793,"virginica"
58,6.694,2.491,5.814,1.802,"virginica"
58,7.196,3.603,6.108,2.482,"virginica"
58,6.498,3.208,5.101,1.989,"virginica"
58,6.393,2.722,5.294,1.917,"virginica"
58,6.807,3.018,5.493,2.098,"virginica"
58,5.704,2.504,5.017,2.01,"virginica"
58,5.8,2.794,5.112,2.387,"virginica"
58,6.418,3.215,5.3,2.292,"virginica"
58,6.495,2.997,5.485,1.795,"virginica"
58,7.694,3.797,6.691,2.19,"virginica"
58,7.701,2.608,6.907,2.308,"virginica"
58,6.003,2.201,5.003,1.488,"virginica"
58,6.903,3.193,5.704,2.286,"virginica"
58,5.602,2.793,4.885,2.003,"virginica"
58,7.688,2.811,6.683,2.001,"virginica"
58,6.31,2.702,4.883,1.787,"virginica"
58,6.693,3.298,5.703,2.094,"virginica"
58,7.203,3.197,6.007,1.793,"virginica"
58,6.209,2.818,4.784,1.782,"virginica"
58,6.092,3.015,4.886,1.808,"virginica"
58,6.405,2.822,5.616,2.105,"virginica"
58,7.201,3.012,5.808,1.594,"virginica"
58,7.401,2.789,6.083,1.887,"virginica"
58,7.908,3.822,6.395,2.019,"virginica"
58,6.396,2.803,5.61,2.204,"virginica"
58,6.298,2.809,5.1,1.49,"virginica"
58,6.079,2.606,5.616,1.394,"virginica"
58,7.705,3.021,6.089,2.296,"virginica"
58,6.295,3.389,5.603,2.414,"virginica"
58,6.382,3.082,5.506,1.783,"virginica"
58,6.008,2.994,4.82,1.82,"virginica"
58,6.905,3.107,5.404,2.11,"virginica"
58,6.698,3.093,5.613,2.375,"virginica"
58,6.897,3.101,5.091,2.299,"virginica"
58,5.808,2.708,5.099,1.902,"virginica"
58,6.809,3.194,5.899,2.309,"virginica"
58,6.708,3.316,5.687,2.509,"virginica"
58,6.717,3.002,5.192,2.298,"virginica"
58,6.305,2.516,4.992,1.912,"virginica"
58,6.487,2.983,5.197,1.994,"virginica"
58,6.209,3.393,5.396,2.298,"virginica"
58,5.91,2.999,5.105,1.811,"virginica"
